:START_ID(Company),:END_ID(Snack),:TYPE
7,1,MAKES
11,2,MAKES
16,3,MAKES
17,4,MAKES
11,5,MAKES
6,6,MAKES
20,7,MAKES
10,8,MAKES
12,9,MAKES
14,10,MAKES
7,11,MAKES
16,12,MAKES
3,13,MAKES
18,14,MAKES
7,15,MAKES
10,16,MAKES
9,17,MAKES
2,18,MAKES
10,19,MAKES
19,20,MAKES
13,21,MAKES
8,22,MAKES
20,23,MAKES
3,24,MAKES
19,25,MAKES
4,26,MAKES
19,27,MAKES
11,28,MAKES
9,29,MAKES
3,30,MAKES
19,31,MAKES
17,32,MAKES
16,33,MAKES
14,34,MAKES
7,35,MAKES
12,36,MAKES
3,37,MAKES
10,38,MAKES
17,39,MAKES
10,40,MAKES
14,41,MAKES
18,42,MAKES
11,43,MAKES
7,44,MAKES
14,45,MAKES
13,46,MAKES
9,47,MAKES
20,48,MAKES
17,49,MAKES
15,50,MAKES
18,51,MAKES
6,52,MAKES
1,53,MAKES
17,54,MAKES
6,55,MAKES
19,56,MAKES
16,57,MAKES
7,58,MAKES
15,59,MAKES
9,60,MAKES
18,61,MAKES
20,62,MAKES
14,63,MAKES
19,64,MAKES
2,65,MAKES
17,66,MAKES
7,67,MAKES
12,68,MAKES
15,69,MAKES
5,70,MAKES
8,71,MAKES
5,72,MAKES
10,73,MAKES
14,74,MAKES
14,75,MAKES
11,76,MAKES
3,77,MAKES
7,78,MAKES
14,79,MAKES
9,80,MAKES
10,81,MAKES
6,82,MAKES
9,83,MAKES
20,84,MAKES
8,85,MAKES
13,86,MAKES
8,87,MAKES
4,88,MAKES
5,89,MAKES
7,90,MAKES
1,91,MAKES
8,92,MAKES
10,93,MAKES
15,94,MAKES
16,95,MAKES
18,96,MAKES
14,97,MAKES
14,98,MAKES
2,99,MAKES
7,100,MAKES
6,101,MAKES
9,102,MAKES
5,103,MAKES
1,104,MAKES
9,105,MAKES
9,106,MAKES
18,107,MAKES
6,108,MAKES
2,109,MAKES
16,110,MAKES
1,111,MAKES
2,112,MAKES
3,113,MAKES
11,114,MAKES
20,115,MAKES
10,116,MAKES
3,117,MAKES
14,118,MAKES
12,119,MAKES
3,120,MAKES
13,121,MAKES
5,122,MAKES
8,123,MAKES
4,124,MAKES
19,125,MAKES
17,126,MAKES
4,127,MAKES
17,128,MAKES
19,129,MAKES
17,130,MAKES
9,131,MAKES
16,132,MAKES
3,133,MAKES
8,134,MAKES
20,135,MAKES
4,136,MAKES
11,137,MAKES
11,138,MAKES
19,139,MAKES
13,140,MAKES
8,141,MAKES
14,142,MAKES
7,143,MAKES
5,144,MAKES
4,145,MAKES
6,146,MAKES
7,147,MAKES
9,148,MAKES
15,149,MAKES
14,150,MAKES
9,151,MAKES
19,152,MAKES
2,153,MAKES
16,154,MAKES
18,155,MAKES
12,156,MAKES
4,157,MAKES
11,158,MAKES
18,159,MAKES
14,160,MAKES
16,161,MAKES
8,162,MAKES
9,163,MAKES
5,164,MAKES
12,165,MAKES
16,166,MAKES
12,167,MAKES
10,168,MAKES
1,169,MAKES
20,170,MAKES
2,171,MAKES
2,172,MAKES
8,173,MAKES
9,174,MAKES
18,175,MAKES
13,176,MAKES
10,177,MAKES
12,178,MAKES
4,179,MAKES
18,180,MAKES
8,181,MAKES
15,182,MAKES
13,183,MAKES
1,184,MAKES
13,185,MAKES
9,186,MAKES
10,187,MAKES
3,188,MAKES
8,189,MAKES
10,190,MAKES
7,191,MAKES
6,192,MAKES
15,193,MAKES
11,194,MAKES
14,195,MAKES
2,196,MAKES
9,197,MAKES
3,198,MAKES
16,199,MAKES
16,200,MAKES
