:START_ID(Customer),:END_ID(Order),:TYPE
318,1,PLACED
41,2,PLACED
31,3,PLACED
71,4,PLACED
192,5,PLACED
256,6,PLACED
152,7,PLACED
104,8,PLACED
78,9,PLACED
193,10,PLACED
105,11,PLACED
329,12,PLACED
20,13,PLACED
122,14,PLACED
473,15,PLACED
372,16,PLACED
307,17,PLACED
485,18,PLACED
228,19,PLACED
379,20,PLACED
450,21,PLACED
169,22,PLACED
69,23,PLACED
143,24,PLACED
163,25,PLACED
330,26,PLACED
403,27,PLACED
390,28,PLACED
21,29,PLACED
267,30,PLACED
406,31,PLACED
213,32,PLACED
332,33,PLACED
417,34,PLACED
148,35,PLACED
385,36,PLACED
13,37,PLACED
118,38,PLACED
434,39,PLACED
376,40,PLACED
170,41,PLACED
176,42,PLACED
125,43,PLACED
106,44,PLACED
277,45,PLACED
28,46,PLACED
465,47,PLACED
470,48,PLACED
341,49,PLACED
128,50,PLACED
411,51,PLACED
352,52,PLACED
357,53,PLACED
369,54,PLACED
114,55,PLACED
312,56,PLACED
447,57,PLACED
196,58,PLACED
267,59,PLACED
165,60,PLACED
94,61,PLACED
227,62,PLACED
323,63,PLACED
4,64,PLACED
34,65,PLACED
446,66,PLACED
252,67,PLACED
36,68,PLACED
489,69,PLACED
99,70,PLACED
27,71,PLACED
325,72,PLACED
73,73,PLACED
481,74,PLACED
105,75,PLACED
65,76,PLACED
47,77,PLACED
89,78,PLACED
304,79,PLACED
282,80,PLACED
426,81,PLACED
408,82,PLACED
478,83,PLACED
105,84,PLACED
121,85,PLACED
260,86,PLACED
41,87,PLACED
219,88,PLACED
372,89,PLACED
240,90,PLACED
160,91,PLACED
85,92,PLACED
370,93,PLACED
102,94,PLACED
126,95,PLACED
218,96,PLACED
91,97,PLACED
311,98,PLACED
128,99,PLACED
156,100,PLACED
147,101,PLACED
296,102,PLACED
230,103,PLACED
496,104,PLACED
326,105,PLACED
104,106,PLACED
140,107,PLACED
442,108,PLACED
401,109,PLACED
247,110,PLACED
41,111,PLACED
487,112,PLACED
498,113,PLACED
185,114,PLACED
204,115,PLACED
194,116,PLACED
86,117,PLACED
242,118,PLACED
226,119,PLACED
217,120,PLACED
259,121,PLACED
313,122,PLACED
377,123,PLACED
222,124,PLACED
390,125,PLACED
80,126,PLACED
420,127,PLACED
489,128,PLACED
407,129,PLACED
247,130,PLACED
11,131,PLACED
391,132,PLACED
196,133,PLACED
219,134,PLACED
438,135,PLACED
43,136,PLACED
389,137,PLACED
465,138,PLACED
472,139,PLACED
154,140,PLACED
305,141,PLACED
276,142,PLACED
79,143,PLACED
284,144,PLACED
373,145,PLACED
90,146,PLACED
132,147,PLACED
195,148,PLACED
238,149,PLACED
157,150,PLACED
233,151,PLACED
146,152,PLACED
193,153,PLACED
288,154,PLACED
311,155,PLACED
247,156,PLACED
37,157,PLACED
171,158,PLACED
70,159,PLACED
367,160,PLACED
241,161,PLACED
101,162,PLACED
80,163,PLACED
470,164,PLACED
98,165,PLACED
3,166,PLACED
7,167,PLACED
442,168,PLACED
257,169,PLACED
374,170,PLACED
372,171,PLACED
192,172,PLACED
252,173,PLACED
208,174,PLACED
474,175,PLACED
213,176,PLACED
482,177,PLACED
203,178,PLACED
497,179,PLACED
381,180,PLACED
192,181,PLACED
197,182,PLACED
251,183,PLACED
158,184,PLACED
329,185,PLACED
302,186,PLACED
37,187,PLACED
210,188,PLACED
454,189,PLACED
20,190,PLACED
472,191,PLACED
64,192,PLACED
198,193,PLACED
478,194,PLACED
290,195,PLACED
84,196,PLACED
100,197,PLACED
391,198,PLACED
224,199,PLACED
491,200,PLACED
131,201,PLACED
395,202,PLACED
468,203,PLACED
385,204,PLACED
370,205,PLACED
179,206,PLACED
261,207,PLACED
364,208,PLACED
251,209,PLACED
326,210,PLACED
353,211,PLACED
189,212,PLACED
357,213,PLACED
30,214,PLACED
334,215,PLACED
198,216,PLACED
475,217,PLACED
218,218,PLACED
377,219,PLACED
127,220,PLACED
125,221,PLACED
245,222,PLACED
18,223,PLACED
