:START_ID(Customer),:END_ID(Mail),:TYPE
225,255,RECEIVES
188,221,RECEIVES
11,269,RECEIVES
460,189,RECEIVES
326,279,RECEIVES
55,215,RECEIVES
243,18,RECEIVES
143,224,RECEIVES
286,217,RECEIVES
35,34,RECEIVES
45,135,RECEIVES
450,184,RECEIVES
244,206,RECEIVES
260,125,RECEIVES
465,71,RECEIVES
62,13,RECEIVES
83,45,RECEIVES
293,96,RECEIVES
341,101,RECEIVES
229,280,RECEIVES
192,286,RECEIVES
135,245,RECEIVES
35,95,RECEIVES
299,212,RECEIVES
60,287,RECEIVES
21,119,RECEIVES
104,76,RECEIVES
154,69,RECEIVES
383,201,RECEIVES
6,191,RECEIVES
31,262,RECEIVES
404,7,RECEIVES
58,269,RECEIVES
341,137,RECEIVES
300,272,RECEIVES
5,156,RECEIVES
451,71,RECEIVES
164,125,RECEIVES
441,246,RECEIVES
411,110,RECEIVES
97,244,RECEIVES
245,246,RECEIVES
110,51,RECEIVES
89,199,RECEIVES
284,278,RECEIVES
440,37,RECEIVES
75,66,RECEIVES
440,262,RECEIVES
75,35,RECEIVES
245,263,RECEIVES
38,290,RECEIVES
85,127,RECEIVES
321,212,RECEIVES
430,186,RECEIVES
481,116,RECEIVES
424,135,RECEIVES
209,31,RECEIVES
386,222,RECEIVES
22,165,RECEIVES
400,203,RECEIVES
15,99,RECEIVES
344,192,RECEIVES
201,231,RECEIVES
311,116,RECEIVES
384,66,RECEIVES
246,261,RECEIVES
456,209,RECEIVES
331,81,RECEIVES
124,267,RECEIVES
148,255,RECEIVES
396,39,RECEIVES
222,16,RECEIVES
214,34,RECEIVES
288,44,RECEIVES
361,75,RECEIVES
396,21,RECEIVES
190,143,RECEIVES
202,144,RECEIVES
238,175,RECEIVES
156,275,RECEIVES
310,168,RECEIVES
471,158,RECEIVES
438,241,RECEIVES
262,250,RECEIVES
198,287,RECEIVES
473,294,RECEIVES
71,241,RECEIVES
173,47,RECEIVES
355,251,RECEIVES
500,176,RECEIVES
273,265,RECEIVES
316,33,RECEIVES
129,138,RECEIVES
479,139,RECEIVES
