:START_ID(Customer),:END_ID(Snack),reviewId,:TYPE
23,55,1,REVIEWED
155,112,2,REVIEWED
48,87,3,REVIEWED
197,168,4,REVIEWED
93,109,5,REVIEWED
78,73,6,REVIEWED
160,100,7,REVIEWED
346,124,8,REVIEWED
18,67,9,REVIEWED
491,108,10,REVIEWED
92,42,11,REVIEWED
204,175,12,REVIEWED
265,28,13,REVIEWED
239,22,14,REVIEWED
178,176,15,REVIEWED
376,26,16,REVIEWED
336,104,17,REVIEWED
412,4,18,REVIEWED
83,82,19,REVIEWED
66,148,20,REVIEWED
260,99,21,REVIEWED
352,117,22,REVIEWED
6,125,23,REVIEWED
335,172,24,REVIEWED
206,109,25,REVIEWED
395,14,26,REVIEWED
156,109,27,REVIEWED
133,190,28,REVIEWED
325,30,29,REVIEWED
310,116,30,REVIEWED
258,96,31,REVIEWED
400,122,32,REVIEWED
365,86,33,REVIEWED
433,137,34,REVIEWED
498,94,35,REVIEWED
58,46,36,REVIEWED
218,137,37,REVIEWED
389,99,38,REVIEWED
446,173,39,REVIEWED
41,39,40,REVIEWED
4,87,41,REVIEWED
486,182,42,REVIEWED
303,67,43,REVIEWED
102,132,44,REVIEWED
417,158,45,REVIEWED
373,117,46,REVIEWED
223,13,47,REVIEWED
238,73,48,REVIEWED
21,32,49,REVIEWED
445,126,50,REVIEWED
236,94,51,REVIEWED
26,154,52,REVIEWED
352,95,53,REVIEWED
130,109,54,REVIEWED
173,173,55,REVIEWED
152,197,56,REVIEWED
420,7,57,REVIEWED
278,69,58,REVIEWED
92,76,59,REVIEWED
183,107,60,REVIEWED
9,115,61,REVIEWED
167,77,62,REVIEWED
326,10,63,REVIEWED
306,29,64,REVIEWED
183,188,65,REVIEWED
19,137,66,REVIEWED
379,102,67,REVIEWED
128,45,68,REVIEWED
44,137,69,REVIEWED
49,33,70,REVIEWED
373,38,71,REVIEWED
325,127,72,REVIEWED
221,71,73,REVIEWED
177,118,74,REVIEWED
353,159,75,REVIEWED
125,188,76,REVIEWED
421,135,77,REVIEWED
292,118,78,REVIEWED
21,20,79,REVIEWED
168,96,80,REVIEWED
20,38,81,REVIEWED
312,186,82,REVIEWED
327,26,83,REVIEWED
196,132,84,REVIEWED
372,21,85,REVIEWED
173,164,86,REVIEWED
384,78,87,REVIEWED
217,103,88,REVIEWED
12,48,89,REVIEWED
487,192,90,REVIEWED
132,185,91,REVIEWED
335,191,92,REVIEWED
453,21,93,REVIEWED
429,111,94,REVIEWED
495,30,95,REVIEWED
407,50,96,REVIEWED
293,67,97,REVIEWED
156,158,98,REVIEWED
264,139,99,REVIEWED
438,63,100,REVIEWED
356,13,101,REVIEWED
192,147,102,REVIEWED
243,56,103,REVIEWED
390,112,104,REVIEWED
141,192,105,REVIEWED
353,200,106,REVIEWED
96,71,107,REVIEWED
257,172,108,REVIEWED
24,155,109,REVIEWED
205,47,110,REVIEWED
348,73,111,REVIEWED
140,2,112,REVIEWED
209,54,113,REVIEWED
10,107,114,REVIEWED
337,34,115,REVIEWED
141,69,116,REVIEWED
237,154,117,REVIEWED
405,163,118,REVIEWED
163,25,119,REVIEWED
114,58,120,REVIEWED
10,182,121,REVIEWED
167,57,122,REVIEWED
33,157,123,REVIEWED
148,187,124,REVIEWED
365,156,125,REVIEWED
424,118,126,REVIEWED
302,108,127,REVIEWED
326,153,128,REVIEWED
169,139,129,REVIEWED
200,122,130,REVIEWED
477,143,131,REVIEWED
7,88,132,REVIEWED
175,82,133,REVIEWED
178,114,134,REVIEWED
78,119,135,REVIEWED
438,191,136,REVIEWED
256,54,137,REVIEWED
273,179,138,REVIEWED
88,173,139,REVIEWED
200,66,140,REVIEWED
207,9,141,REVIEWED
339,147,142,REVIEWED
496,21,143,REVIEWED
324,125,144,REVIEWED
288,89,145,REVIEWED
43,54,146,REVIEWED
383,136,147,REVIEWED
190,78,148,REVIEWED
150,193,149,REVIEWED
162,116,150,REVIEWED
346,120,151,REVIEWED
16,40,152,REVIEWED
320,150,153,REVIEWED
86,160,154,REVIEWED
181,145,155,REVIEWED
221,107,156,REVIEWED
392,6,157,REVIEWED
385,73,158,REVIEWED
285,191,159,REVIEWED
252,61,160,REVIEWED
193,138,161,REVIEWED
68,97,162,REVIEWED
311,32,163,REVIEWED
50,102,164,REVIEWED
112,55,165,REVIEWED
57,147,166,REVIEWED
149,46,167,REVIEWED
443,41,168,REVIEWED
393,200,169,REVIEWED
377,103,170,REVIEWED
282,105,171,REVIEWED
181,193,172,REVIEWED
112,108,173,REVIEWED
462,154,174,REVIEWED
143,82,175,REVIEWED
395,93,176,REVIEWED
323,28,177,REVIEWED
341,176,178,REVIEWED
492,163,179,REVIEWED
391,163,180,REVIEWED
163,129,181,REVIEWED
275,137,182,REVIEWED
201,58,183,REVIEWED
440,104,184,REVIEWED
254,194,185,REVIEWED
238,74,186,REVIEWED
423,116,187,REVIEWED
81,46,188,REVIEWED
205,74,189,REVIEWED
2,137,190,REVIEWED
425,86,191,REVIEWED
391,119,192,REVIEWED
336,45,193,REVIEWED
350,26,194,REVIEWED
197,149,195,REVIEWED
335,108,196,REVIEWED
499,108,197,REVIEWED
211,49,198,REVIEWED
326,8,199,REVIEWED
317,58,200,REVIEWED
71,157,201,REVIEWED
318,129,202,REVIEWED
42,154,203,REVIEWED
293,188,204,REVIEWED
210,6,205,REVIEWED
167,157,206,REVIEWED
128,43,207,REVIEWED
292,161,208,REVIEWED
242,176,209,REVIEWED
47,95,210,REVIEWED
12,191,211,REVIEWED
308,168,212,REVIEWED
200,142,213,REVIEWED
262,50,214,REVIEWED
436,42,215,REVIEWED
235,95,216,REVIEWED
371,62,217,REVIEWED
90,121,218,REVIEWED
480,183,219,REVIEWED
472,52,220,REVIEWED
166,34,221,REVIEWED
151,17,222,REVIEWED
458,8,223,REVIEWED
106,148,224,REVIEWED
237,118,225,REVIEWED
126,176,226,REVIEWED
309,114,227,REVIEWED
124,46,228,REVIEWED
499,119,229,REVIEWED
257,165,230,REVIEWED
57,155,231,REVIEWED
429,85,232,REVIEWED
447,41,233,REVIEWED
126,119,234,REVIEWED
370,18,235,REVIEWED
4,192,236,REVIEWED
17,175,237,REVIEWED
347,105,238,REVIEWED
444,134,239,REVIEWED
241,99,240,REVIEWED
37,107,241,REVIEWED
491,67,242,REVIEWED
453,184,243,REVIEWED
276,31,244,REVIEWED
367,199,245,REVIEWED
311,166,246,REVIEWED
274,183,247,REVIEWED
13,113,248,REVIEWED
247,186,249,REVIEWED
31,75,250,REVIEWED
416,102,251,REVIEWED
425,186,252,REVIEWED
394,11,253,REVIEWED
187,103,254,REVIEWED
367,131,255,REVIEWED
323,167,256,REVIEWED
226,110,257,REVIEWED
404,32,258,REVIEWED
54,38,259,REVIEWED
434,68,260,REVIEWED
389,149,261,REVIEWED
386,29,262,REVIEWED
370,44,263,REVIEWED
188,106,264,REVIEWED
337,87,265,REVIEWED
73,63,266,REVIEWED
408,124,267,REVIEWED
108,68,268,REVIEWED
50,85,269,REVIEWED
329,178,270,REVIEWED
38,118,271,REVIEWED
461,182,272,REVIEWED
252,193,273,REVIEWED
126,194,274,REVIEWED
134,88,275,REVIEWED
152,177,276,REVIEWED
228,85,277,REVIEWED
404,116,278,REVIEWED
359,67,279,REVIEWED
291,71,280,REVIEWED
305,10,281,REVIEWED
390,36,282,REVIEWED
76,134,283,REVIEWED
148,7,284,REVIEWED
114,95,285,REVIEWED
289,93,286,REVIEWED
366,75,287,REVIEWED
158,184,288,REVIEWED
82,146,289,REVIEWED
325,79,290,REVIEWED
244,183,291,REVIEWED
226,173,292,REVIEWED
151,40,293,REVIEWED
381,178,294,REVIEWED
66,38,295,REVIEWED
312,75,296,REVIEWED
440,99,297,REVIEWED
132,164,298,REVIEWED
117,8,299,REVIEWED
436,55,300,REVIEWED
299,78,301,REVIEWED
76,150,302,REVIEWED
7,67,303,REVIEWED
187,185,304,REVIEWED
261,191,305,REVIEWED
446,133,306,REVIEWED
208,123,307,REVIEWED
317,44,308,REVIEWED
498,89,309,REVIEWED
330,40,310,REVIEWED
301,129,311,REVIEWED
161,134,312,REVIEWED
192,97,313,REVIEWED
444,125,314,REVIEWED
332,44,315,REVIEWED
446,135,316,REVIEWED
247,45,317,REVIEWED
248,98,318,REVIEWED
8,172,319,REVIEWED
485,17,320,REVIEWED
176,58,321,REVIEWED
159,53,322,REVIEWED
115,39,323,REVIEWED
143,156,324,REVIEWED
399,187,325,REVIEWED
405,31,326,REVIEWED
333,51,327,REVIEWED
183,128,328,REVIEWED
236,146,329,REVIEWED
468,164,330,REVIEWED
465,4,331,REVIEWED
431,192,332,REVIEWED
434,135,333,REVIEWED
460,59,334,REVIEWED
380,52,335,REVIEWED
187,171,336,REVIEWED
17,103,337,REVIEWED
321,26,338,REVIEWED
488,85,339,REVIEWED
260,18,340,REVIEWED
139,142,341,REVIEWED
493,137,342,REVIEWED
434,190,343,REVIEWED
276,21,344,REVIEWED
497,15,345,REVIEWED
229,146,346,REVIEWED
268,64,347,REVIEWED
126,66,348,REVIEWED
409,190,349,REVIEWED
94,177,350,REVIEWED
480,167,351,REVIEWED
440,63,352,REVIEWED
117,177,353,REVIEWED
368,117,354,REVIEWED
91,11,355,REVIEWED
312,69,356,REVIEWED
283,72,357,REVIEWED
47,191,358,REVIEWED
98,188,359,REVIEWED
426,17,360,REVIEWED
464,34,361,REVIEWED
268,78,362,REVIEWED
32,54,363,REVIEWED
117,63,364,REVIEWED
300,195,365,REVIEWED
298,123,366,REVIEWED
238,26,367,REVIEWED
275,14,368,REVIEWED
164,163,369,REVIEWED
38,51,370,REVIEWED
245,30,371,REVIEWED
227,22,372,REVIEWED
244,51,373,REVIEWED
52,139,374,REVIEWED
302,56,375,REVIEWED
307,125,376,REVIEWED
154,146,377,REVIEWED
5,149,378,REVIEWED
221,29,379,REVIEWED
369,114,380,REVIEWED
399,165,381,REVIEWED
100,151,382,REVIEWED
413,163,383,REVIEWED
315,194,384,REVIEWED
234,1,385,REVIEWED
