mailId:ID(Mail),name,user,discount,text
1,Zomerdeal,fvan-t-wel,5,Bestel vandaag en krijg gratis verzending.
2,Snack Promo,ravivan-den-assem,10,Nieuwe smaken zijn nu beschikbaar in onze webshop.
3,Zomerdeal,thijmen11,25,Ontvang deze week korting op al onze snacks.
4,Gratis Verzending,noudstoffel,20,Ontvang deze week korting op al onze snacks.
5,Zomerdeal,jurrevan-de-biesenbos,5,Nieuwe smaken zijn nu beschikbaar in onze webshop.
6,Snack Promo,ellavan-der-strigt,25,Speciaal aanbod voor trouwe klanten.
7,Zomerdeal,mikavan-gelder,25,Nieuwe smaken zijn nu beschikbaar in onze webshop.
8,Gratis Verzending,van-brenenvince,20,Nieuwe smaken zijn nu beschikbaar in onze webshop.
9,Korting van de Week,qstoffelsz,25,Bestel vandaag en krijg gratis verzending.
10,Zomerdeal,mohammedwillemsen,10,Ontdek onze populairste snacks van deze maand.
11,Nieuwe Smaken,stef63,15,Nieuwe smaken zijn nu beschikbaar in onze webshop.
12,Snack Promo,helenavan-saksen,15,Ontvang deze week korting op al onze snacks.
13,Zomerdeal,klomp-jannoah,20,Ontvang deze week korting op al onze snacks.
14,Nieuwe Smaken,ellabroeders,15,Speciaal aanbod voor trouwe klanten.
15,Nieuwe Smaken,jennifervan-riet,5,Ontdek onze populairste snacks van deze maand.
16,Gratis Verzending,edijkman,5,Ontdek onze populairste snacks van deze maand.
17,Zomerdeal,bente63,25,Bestel vandaag en krijg gratis verzending.
18,Gratis Verzending,pbrandon,15,Speciaal aanbod voor trouwe klanten.
19,Snack Promo,mariavan-de-pol,5,Ontvang deze week korting op al onze snacks.
20,Snack Promo,xluitgardis-van-neustrie,15,Ontvang deze week korting op al onze snacks.
21,Snack Promo,esila81,5,Ontdek onze populairste snacks van deze maand.
22,Nieuwe Smaken,joepvolcke,20,Bestel vandaag en krijg gratis verzending.
23,Snack Promo,soosmara,15,Bestel vandaag en krijg gratis verzending.
24,Snack Promo,youwel,15,Ontvang deze week korting op al onze snacks.
25,Gratis Verzending,ahaneberg,10,Speciaal aanbod voor trouwe klanten.
26,Snack Promo,sofie40,10,Ontdek onze populairste snacks van deze maand.
27,Korting van de Week,senna92,15,Speciaal aanbod voor trouwe klanten.
28,Snack Promo,collin89,15,Ontvang deze week korting op al onze snacks.
29,Snack Promo,brent17,5,Bestel vandaag en krijg gratis verzending.
30,Korting van de Week,huismanlinn,15,Ontvang deze week korting op al onze snacks.
31,Snack Promo,floorvan-poppel,25,Bestel vandaag en krijg gratis verzending.
32,Snack Promo,vrouwhorst,20,Ontdek onze populairste snacks van deze maand.
33,Korting van de Week,nvan-der-stael,10,Bestel vandaag en krijg gratis verzending.
34,Snack Promo,feenstraliz,10,Speciaal aanbod voor trouwe klanten.
35,Gratis Verzending,volthof,15,Speciaal aanbod voor trouwe klanten.
36,Korting van de Week,owen44,25,Ontdek onze populairste snacks van deze maand.
37,Nieuwe Smaken,van-der-plasyasmine,10,Nieuwe smaken zijn nu beschikbaar in onze webshop.
38,Gratis Verzending,vigovan-boulogne,20,Ontvang deze week korting op al onze snacks.
39,Zomerdeal,mathurinlinde,5,Nieuwe smaken zijn nu beschikbaar in onze webshop.
40,Snack Promo,helmerhorstkay,20,Speciaal aanbod voor trouwe klanten.
41,Zomerdeal,bastiaan21,20,Ontdek onze populairste snacks van deze maand.
42,Gratis Verzending,kvan-breukeleveen,20,Speciaal aanbod voor trouwe klanten.
43,Nieuwe Smaken,tvan-arnsberg,25,Ontvang deze week korting op al onze snacks.
44,Zomerdeal,van-rooijsterre,25,Bestel vandaag en krijg gratis verzending.
45,Nieuwe Smaken,azuijdveld,5,Bestel vandaag en krijg gratis verzending.
46,Korting van de Week,melle38,10,Ontdek onze populairste snacks van deze maand.
47,Zomerdeal,egreij,15,Speciaal aanbod voor trouwe klanten.
48,Snack Promo,demmendaalryan,25,Ontvang deze week korting op al onze snacks.
49,Nieuwe Smaken,vhoogers,25,Speciaal aanbod voor trouwe klanten.
50,Snack Promo,gmerckx,10,Bestel vandaag en krijg gratis verzending.
51,Snack Promo,de-grotekick,25,Speciaal aanbod voor trouwe klanten.
52,Zomerdeal,juliette90,25,Bestel vandaag en krijg gratis verzending.
53,Korting van de Week,meelman,5,Ontvang deze week korting op al onze snacks.
54,Nieuwe Smaken,abroeshart,15,Nieuwe smaken zijn nu beschikbaar in onze webshop.
55,Zomerdeal,van-dommelenayoub,10,Speciaal aanbod voor trouwe klanten.
56,Zomerdeal,esila96,5,Ontdek onze populairste snacks van deze maand.
57,Zomerdeal,ivan-herstal,25,Nieuwe smaken zijn nu beschikbaar in onze webshop.
58,Snack Promo,annaverhaar,20,Speciaal aanbod voor trouwe klanten.
59,Snack Promo,yasminevan-gent,15,Speciaal aanbod voor trouwe klanten.
60,Gratis Verzending,vscheffers,20,Nieuwe smaken zijn nu beschikbaar in onze webshop.
61,Gratis Verzending,nbruynzeels,10,Bestel vandaag en krijg gratis verzending.
62,Korting van de Week,loeksteenbakkers,15,Ontdek onze populairste snacks van deze maand.
63,Gratis Verzending,lorealdemi,20,Ontvang deze week korting op al onze snacks.
64,Snack Promo,poncielin,10,Ontvang deze week korting op al onze snacks.
65,Nieuwe Smaken,jet95,5,Speciaal aanbod voor trouwe klanten.
66,Gratis Verzending,dirk05,10,Speciaal aanbod voor trouwe klanten.
67,Snack Promo,jbriere,5,Ontvang deze week korting op al onze snacks.
68,Zomerdeal,xvan-de-wal,10,Ontvang deze week korting op al onze snacks.
69,Zomerdeal,sylvie45,15,Ontvang deze week korting op al onze snacks.
70,Gratis Verzending,kortyasmine,10,Bestel vandaag en krijg gratis verzending.
71,Korting van de Week,carlijnvan-schweinfurt,10,Speciaal aanbod voor trouwe klanten.
72,Snack Promo,molensilke,25,Speciaal aanbod voor trouwe klanten.
73,Korting van de Week,van-wijlandmick,10,Ontdek onze populairste snacks van deze maand.
74,Korting van de Week,kde-vries,10,Ontvang deze week korting op al onze snacks.
75,Zomerdeal,le-marecrobin,20,Bestel vandaag en krijg gratis verzending.
76,Korting van de Week,rvan-duyvenvoorde,20,Ontdek onze populairste snacks van deze maand.
77,Zomerdeal,vervoorttycho,5,Ontvang deze week korting op al onze snacks.
78,Korting van de Week,dvan-de-darnau,15,Ontvang deze week korting op al onze snacks.
79,Snack Promo,nghoerle,10,Nieuwe smaken zijn nu beschikbaar in onze webshop.
80,Gratis Verzending,cadefausara,20,Nieuwe smaken zijn nu beschikbaar in onze webshop.
