:START_ID(Order),:END_ID(Snack),:TYPE
1,178,CONTAINS
1,37,CONTAINS
1,138,CONTAINS
1,53,CONTAINS
2,162,CONTAINS
3,163,CONTAINS
3,179,CONTAINS
3,166,CONTAINS
4,183,CONTAINS
4,96,CONTAINS
5,169,CONTAINS
5,166,CONTAINS
5,131,CONTAINS
5,155,CONTAINS
5,42,CONTAINS
6,40,CONTAINS
6,81,CONTAINS
6,112,CONTAINS
6,98,CONTAINS
7,155,CONTAINS
8,20,CONTAINS
8,70,CONTAINS
9,137,CONTAINS
10,176,CONTAINS
11,105,CONTAINS
11,17,CONTAINS
11,85,CONTAINS
11,164,CONTAINS
11,23,CONTAINS
12,86,CONTAINS
12,200,CONTAINS
12,70,CONTAINS
13,58,CONTAINS
13,71,CONTAINS
14,26,CONTAINS
15,57,CONTAINS
15,97,CONTAINS
15,27,CONTAINS
15,32,CONTAINS
16,135,CONTAINS
16,187,CONTAINS
17,151,CONTAINS
17,126,CONTAINS
17,25,CONTAINS
18,90,CONTAINS
18,180,CONTAINS
18,147,CONTAINS
18,73,CONTAINS
18,142,CONTAINS
19,156,CONTAINS
19,26,CONTAINS
19,13,CONTAINS
20,82,CONTAINS
20,193,CONTAINS
21,47,CONTAINS
21,89,CONTAINS
21,190,CONTAINS
21,174,CONTAINS
22,142,CONTAINS
22,153,CONTAINS
22,104,CONTAINS
22,123,CONTAINS
22,152,CONTAINS
23,67,CONTAINS
23,3,CONTAINS
24,183,CONTAINS
24,40,CONTAINS
24,169,CONTAINS
24,33,CONTAINS
24,37,CONTAINS
25,146,CONTAINS
25,189,CONTAINS
25,69,CONTAINS
25,14,CONTAINS
26,182,CONTAINS
26,200,CONTAINS
26,64,CONTAINS
27,108,CONTAINS
27,181,CONTAINS
27,118,CONTAINS
27,47,CONTAINS
27,113,CONTAINS
28,120,CONTAINS
28,129,CONTAINS
28,74,CONTAINS
29,110,CONTAINS
29,134,CONTAINS
29,184,CONTAINS
30,79,CONTAINS
30,163,CONTAINS
31,79,CONTAINS
32,198,CONTAINS
32,81,CONTAINS
32,24,CONTAINS
32,163,CONTAINS
33,20,CONTAINS
34,24,CONTAINS
34,43,CONTAINS
35,15,CONTAINS
35,22,CONTAINS
35,191,CONTAINS
35,74,CONTAINS
35,142,CONTAINS
36,3,CONTAINS
36,109,CONTAINS
36,174,CONTAINS
36,131,CONTAINS
37,123,CONTAINS
37,128,CONTAINS
38,176,CONTAINS
38,174,CONTAINS
38,137,CONTAINS
38,179,CONTAINS
38,32,CONTAINS
39,4,CONTAINS
39,158,CONTAINS
39,49,CONTAINS
39,191,CONTAINS
40,183,CONTAINS
41,180,CONTAINS
41,137,CONTAINS
41,192,CONTAINS
41,89,CONTAINS
42,190,CONTAINS
42,170,CONTAINS
43,176,CONTAINS
43,156,CONTAINS
43,11,CONTAINS
43,115,CONTAINS
43,44,CONTAINS
44,58,CONTAINS
44,45,CONTAINS
44,20,CONTAINS
44,94,CONTAINS
44,35,CONTAINS
45,91,CONTAINS
45,14,CONTAINS
45,109,CONTAINS
45,127,CONTAINS
45,98,CONTAINS
46,96,CONTAINS
46,29,CONTAINS
47,174,CONTAINS
47,64,CONTAINS
47,139,CONTAINS
48,75,CONTAINS
49,124,CONTAINS
49,76,CONTAINS
49,68,CONTAINS
50,1,CONTAINS
50,189,CONTAINS
51,101,CONTAINS
51,56,CONTAINS
51,79,CONTAINS
51,165,CONTAINS
51,132,CONTAINS
52,119,CONTAINS
53,125,CONTAINS
53,15,CONTAINS
53,92,CONTAINS
53,2,CONTAINS
53,158,CONTAINS
54,85,CONTAINS
54,77,CONTAINS
54,91,CONTAINS
54,28,CONTAINS
55,90,CONTAINS
56,103,CONTAINS
56,91,CONTAINS
57,26,CONTAINS
58,126,CONTAINS
58,51,CONTAINS
58,22,CONTAINS
58,136,CONTAINS
59,40,CONTAINS
59,106,CONTAINS
59,32,CONTAINS
59,125,CONTAINS
59,2,CONTAINS
