orderId:ID(Order),date,total_price,delivery_date
1,2023-07-18,45.46,2023-07-21
2,2023-04-10,40.26,2023-04-13
3,2022-08-25,87.95,2022-08-26
4,2022-11-20,90.43,2022-11-21
5,2024-02-20,26.29,2024-02-26
6,2022-08-10,60.68,2022-08-16
7,2024-01-12,117.31,2024-01-17
8,2023-06-22,37.54,2023-06-27
9,2022-04-13,27.32,2022-04-20
10,2022-08-21,25.64,2022-08-24
11,2022-01-15,66.43,2022-01-21
12,2022-10-08,117.04,2022-10-09
13,2023-07-21,85.2,2023-07-24
14,2022-05-10,104.87,2022-05-16
15,2023-05-18,105.36,2023-05-19
16,2023-08-11,58.98,2023-08-14
17,2023-03-28,26.2,2023-03-31
18,2022-02-22,113.22,2022-02-25
19,2023-05-05,99.54,2023-05-06
20,2023-02-15,13.52,2023-02-19
21,2023-10-07,11.17,2023-10-13
22,2022-06-02,69.73,2022-06-09
23,2022-11-08,119.3,2022-11-09
24,2022-05-02,92.91,2022-05-07
25,2023-09-13,95.94,2023-09-18
26,2022-08-20,65.1,2022-08-27
27,2023-04-07,39.2,2023-04-11
28,2023-08-26,40.12,2023-08-30
29,2023-09-28,75.11,2023-09-29
30,2024-01-28,113.97,2024-01-29
31,2022-08-01,29.27,2022-08-07
32,2023-11-08,23.06,2023-11-09
33,2022-06-27,13.63,2022-07-02
34,2022-01-03,56.81,2022-01-07
35,2023-09-01,38.49,2023-09-05
36,2022-08-26,86.3,2022-08-29
37,2023-12-21,57.21,2023-12-28
38,2023-12-05,111.25,2023-12-07
39,2024-03-17,76.88,2024-03-24
40,2023-11-09,112.37,2023-11-16
41,2023-03-12,67.62,2023-03-13
42,2023-10-26,109.47,2023-10-28
43,2024-04-26,13.21,2024-04-28
44,2022-06-19,40.38,2022-06-26
45,2024-02-06,70.46,2024-02-13
46,2022-10-23,19.3,2022-10-27
47,2023-12-07,85.47,2023-12-10
48,2022-10-06,67.1,2022-10-11
49,2023-03-25,73.77,2023-03-26
50,2023-03-19,42.07,2023-03-25
51,2022-09-14,15.5,2022-09-15
52,2023-11-22,103.96,2023-11-29
53,2023-08-25,119.95,2023-08-26
54,2023-11-20,35.99,2023-11-27
55,2022-02-11,91.97,2022-02-18
56,2023-04-27,79.92,2023-05-02
57,2022-10-12,119.65,2022-10-14
58,2023-03-23,98.64,2023-03-29
59,2022-04-04,45.02,2022-04-08
60,2022-12-08,82.07,2022-12-11
61,2024-05-28,42.93,2024-05-30
62,2023-12-12,38.15,2023-12-16
63,2023-02-15,92.46,2023-02-22
64,2022-02-07,15.13,2022-02-11
65,2022-09-16,18.33,2022-09-19
66,2024-03-02,104.46,2024-03-06
67,2024-04-24,80.63,2024-04-25
68,2023-07-10,52.52,2023-07-14
69,2022-07-12,46.6,2022-07-17
70,2024-02-14,76.92,2024-02-18
71,2024-02-18,28.41,2024-02-19
72,2023-07-17,111.68,2023-07-19
73,2023-03-25,60.74,2023-03-31
74,2022-01-30,75.02,2022-02-05
75,2022-09-03,23.21,2022-09-09
76,2023-07-19,68.51,2023-07-20
77,2022-04-06,119.11,2022-04-08
78,2022-04-27,113.91,2022-05-01
79,2023-10-26,22.71,2023-11-02
80,2024-01-04,63.52,2024-01-07
81,2022-10-07,100.99,2022-10-11
82,2023-04-29,57.53,2023-05-01
83,2022-05-29,26.92,2022-06-02
84,2023-09-06,90.82,2023-09-11
85,2022-05-20,13.03,2022-05-27
86,2024-03-02,103.26,2024-03-09
87,2022-12-15,63.39,2022-12-22
88,2024-04-20,37.53,2024-04-21
89,2022-11-02,72.5,2022-11-09
90,2023-11-07,104.5,2023-11-11
91,2023-04-03,60.7,2023-04-08
92,2022-12-07,92.73,2022-12-12
93,2023-01-22,112.28,2023-01-26
94,2024-06-09,117.79,2024-06-11
95,2022-09-02,49.04,2022-09-07
96,2024-05-26,52.24,2024-06-02
97,2022-11-22,59.39,2022-11-28
98,2024-04-10,49.4,2024-04-14
99,2023-11-11,99.39,2023-11-18
100,2022-06-05,115.95,2022-06-09
101,2022-05-10,116.02,2022-05-15
102,2022-12-06,16.54,2022-12-13
103,2024-05-15,16.47,2024-05-19
104,2023-04-13,88.08,2023-04-14
105,2023-02-24,80.3,2023-03-03
106,2022-06-08,58.99,2022-06-09
107,2022-09-29,76.67,2022-10-02
108,2023-02-12,14.24,2023-02-18
109,2022-12-03,82.55,2022-12-10
110,2023-07-01,114.73,2023-07-05
111,2023-10-04,107.06,2023-10-10
112,2023-05-15,67.22,2023-05-22
113,2023-09-25,32.0,2023-09-26
114,2023-12-02,119.7,2023-12-05
115,2024-02-04,54.91,2024-02-05
116,2022-04-11,77.88,2022-04-18
117,2024-06-12,56.02,2024-06-13
118,2023-12-12,108.89,2023-12-15
119,2022-02-17,96.56,2022-02-20
120,2022-10-28,48.11,2022-10-31
121,2022-05-30,66.08,2022-06-01
122,2023-08-03,96.14,2023-08-09
123,2022-06-24,14.08,2022-06-26
124,2024-06-10,76.27,2024-06-14
125,2022-09-04,109.98,2022-09-08
126,2022-05-27,58.03,2022-05-29
127,2022-09-18,34.36,2022-09-22
128,2022-01-10,58.5,2022-01-17
129,2022-10-22,67.86,2022-10-28
130,2022-03-17,113.7,2022-03-21
131,2023-08-25,78.48,2023-08-28
132,2023-03-11,33.76,2023-03-17
133,2024-05-15,27.91,2024-05-18
134,2023-01-29,60.57,2023-02-05
135,2022-08-31,70.77,2022-09-04
136,2023-08-12,119.16,2023-08-15
137,2022-10-30,117.46,2022-10-31
138,2023-11-06,36.57,2023-11-10
139,2023-08-03,83.87,2023-08-10
140,2024-02-02,109.72,2024-02-03
141,2024-02-03,100.78,2024-02-07
142,2022-10-21,96.87,2022-10-28
143,2023-09-14,45.52,2023-09-21
144,2023-10-14,76.4,2023-10-16
145,2023-11-26,87.91,2023-12-03
146,2023-11-07,101.41,2023-11-13
147,2023-10-06,108.89,2023-10-07
148,2023-10-24,40.53,2023-10-25
149,2023-03-28,71.65,2023-03-29
150,2024-01-20,15.37,2024-01-22
151,2022-10-30,90.96,2022-11-02
152,2022-06-29,20.2,2022-07-01
153,2023-07-07,66.05,2023-07-10
154,2022-10-07,23.92,2022-10-14
155,2024-04-24,116.25,2024-04-28
156,2022-10-30,105.1,2022-11-05
157,2024-04-03,58.86,2024-04-04
158,2022-03-19,91.73,2022-03-21
159,2022-08-20,82.78,2022-08-27
160,2023-11-22,116.24,2023-11-26
161,2024-04-03,47.06,2024-04-08
162,2024-03-20,6.6,2024-03-24
163,2023-07-04,57.3,2023-07-05
164,2023-11-20,82.32,2023-11-26
165,2023-08-22,99.58,2023-08-26
166,2023-01-16,82.61,2023-01-17
167,2023-04-28,76.25,2023-04-29
168,2023-07-29,110.25,2023-08-01
169,2022-08-15,12.27,2022-08-21
170,2024-04-23,109.58,2024-04-27
171,2022-11-06,51.95,2022-11-12
172,2022-05-24,113.82,2022-05-25
173,2022-11-08,18.35,2022-11-12
174,2022-08-29,20.6,2022-09-03
175,2023-04-10,82.11,2023-04-13
176,2024-01-31,113.79,2024-02-06
177,2023-03-06,90.36,2023-03-11
178,2022-06-08,80.32,2022-06-12
179,2024-05-03,75.8,2024-05-07
180,2022-10-14,84.38,2022-10-15
181,2022-08-11,56.14,2022-08-15
182,2022-08-30,46.71,2022-09-06
183,2023-12-04,67.61,2023-12-07
184,2023-10-23,11.96,2023-10-26
185,2022-10-10,116.34,2022-10-12
186,2024-05-18,57.29,2024-05-25
187,2023-11-10,78.8,2023-11-12
188,2023-09-04,10.82,2023-09-05
189,2022-12-08,118.71,2022-12-10
190,2024-03-16,28.6,2024-03-21
191,2024-04-29,68.73,2024-05-06
192,2023-08-24,98.5,2023-08-26
193,2022-08-27,94.05,2022-08-30
194,2024-03-18,5.33,2024-03-23
195,2024-05-29,118.57,2024-05-31
196,2023-07-08,96.83,2023-07-11
197,2022-04-23,104.64,2022-04-29
198,2022-05-15,46.2,2022-05-16
199,2024-03-18,72.72,2024-03-20
200,2022-01-17,35.52,2022-01-19
201,2022-05-10,53.41,2022-05-16
202,2022-04-27,12.31,2022-05-03
203,2023-04-05,46.63,2023-04-12
204,2023-08-31,56.98,2023-09-01
205,2022-08-15,9.99,2022-08-20
206,2024-03-13,80.77,2024-03-20
207,2022-11-05,78.98,2022-11-09
208,2022-02-01,119.84,2022-02-02
209,2024-05-17,54.02,2024-05-21
210,2022-04-21,86.93,2022-04-25
211,2023-03-31,108.42,2023-04-01
212,2022-11-26,22.06,2022-12-01
213,2022-05-10,76.8,2022-05-13
214,2023-08-23,86.9,2023-08-28
215,2023-01-26,66.01,2023-01-31
216,2023-04-10,74.62,2023-04-15
217,2022-04-12,85.7,2022-04-19
218,2024-05-23,79.86,2024-05-29
219,2024-02-27,87.9,2024-03-03
220,2022-08-09,56.93,2022-08-13
221,2022-08-22,43.98,2022-08-26
222,2023-04-10,52.84,2023-04-14
223,2022-04-08,54.08,2022-04-11
224,2023-11-13,48.04,2023-11-16
225,2022-06-06,111.14,2022-06-12
226,2022-03-10,100.65,2022-03-11
227,2022-04-06,16.1,2022-04-10
228,2024-01-27,98.35,2024-01-30
229,2023-07-24,72.44,2023-07-25
230,2023-07-30,42.91,2023-08-04
231,2022-05-06,45.66,2022-05-10
232,2023-11-13,53.64,2023-11-20
233,2024-01-09,116.37,2024-01-10
234,2023-09-07,45.44,2023-09-10
235,2023-08-15,29.46,2023-08-20
236,2023-11-04,30.79,2023-11-08
237,2022-04-21,102.22,2022-04-24
238,2023-01-12,92.7,2023-01-13
239,2023-08-11,97.83,2023-08-13
240,2024-05-15,117.07,2024-05-20
241,2024-04-18,75.56,2024-04-23
242,2023-10-21,8.02,2023-10-26
243,2023-11-05,84.75,2023-11-12
244,2022-01-30,36.43,2022-02-01
245,2024-02-20,110.98,2024-02-23
246,2022-12-26,25.86,2022-12-27
247,2022-05-27,80.59,2022-06-01
248,2022-03-13,90.21,2022-03-15
249,2022-02-01,90.8,2022-02-02
250,2022-08-09,53.28,2022-08-13
251,2022-12-16,47.56,2022-12-18
252,2024-01-09,94.34,2024-01-12
253,2023-08-05,14.77,2023-08-10
254,2022-02-23,23.1,2022-02-25
255,2023-09-25,82.51,2023-09-26
256,2022-10-06,81.12,2022-10-10
257,2023-05-13,55.84,2023-05-18
258,2022-10-07,91.82,2022-10-09
259,2022-04-27,54.44,2022-04-30
260,2022-10-18,83.03,2022-10-24
261,2023-05-14,81.72,2023-05-19
262,2022-02-16,50.46,2022-02-18
263,2023-09-06,5.88,2023-09-07
264,2022-11-05,93.25,2022-11-07
265,2024-02-22,38.29,2024-02-25
266,2022-05-03,62.2,2022-05-04
267,2023-03-17,19.86,2023-03-19
268,2023-06-30,31.46,2023-07-06
269,2023-07-27,81.83,2023-08-03
270,2022-12-29,50.66,2022-12-30
271,2024-01-30,55.17,2024-01-31
272,2023-04-16,104.14,2023-04-17
273,2023-08-13,70.94,2023-08-17
274,2023-12-28,53.03,2024-01-03
275,2022-04-28,7.4,2022-05-02
276,2022-11-29,97.15,2022-12-01
277,2023-09-25,100.68,2023-09-29
278,2023-01-06,55.22,2023-01-07
279,2022-04-19,55.1,2022-04-21
280,2023-02-15,14.04,2023-02-20
281,2024-06-10,90.77,2024-06-13
282,2022-08-15,94.6,2022-08-18
283,2022-03-20,77.82,2022-03-25
284,2023-06-28,27.3,2023-07-03
285,2024-03-05,45.38,2024-03-08
286,2024-04-18,98.73,2024-04-24
287,2022-08-30,21.84,2022-08-31
288,2022-07-22,74.28,2022-07-24
289,2024-02-18,80.38,2024-02-25
290,2022-07-01,77.21,2022-07-08
291,2023-04-21,69.83,2023-04-28
292,2023-08-17,83.33,2023-08-21
293,2023-08-02,78.06,2023-08-08
294,2023-10-02,104.39,2023-10-05
295,2023-10-05,22.36,2023-10-08
296,2022-03-11,55.85,2022-03-15
297,2022-11-07,36.59,2022-11-14
298,2022-02-27,63.34,2022-03-02
299,2022-11-14,56.97,2022-11-18
300,2022-02-28,100.65,2022-03-03
301,2022-03-20,104.39,2022-03-26
302,2024-05-25,75.73,2024-05-26
303,2023-06-04,58.21,2023-06-08
304,2023-07-22,89.98,2023-07-29
305,2022-02-12,109.54,2022-02-16
306,2023-08-09,26.65,2023-08-15
307,2023-09-12,62.66,2023-09-16
308,2022-03-05,16.9,2022-03-09
309,2024-05-07,117.97,2024-05-10
310,2022-03-28,79.3,2022-04-02
311,2022-02-10,86.38,2022-02-12
312,2023-03-26,65.12,2023-03-31
313,2022-06-12,47.88,2022-06-15
314,2022-10-17,52.01,2022-10-21
315,2022-12-13,73.76,2022-12-19
316,2024-03-19,79.44,2024-03-25
317,2022-03-09,15.87,2022-03-12
318,2023-11-26,37.68,2023-11-30
319,2024-01-12,80.5,2024-01-19
320,2023-09-10,22.29,2023-09-17
321,2022-03-25,81.32,2022-03-30
322,2022-12-25,116.29,2022-12-28
323,2023-12-17,50.08,2023-12-23
324,2023-09-02,112.87,2023-09-08
325,2022-11-14,48.32,2022-11-19
326,2024-03-21,98.52,2024-03-24
327,2023-11-18,100.33,2023-11-24
328,2024-01-27,109.93,2024-02-02
329,2022-04-06,82.1,2022-04-12
330,2023-06-05,7.1,2023-06-08
