reviewId:ID(Review),rating,review_text,review_time
1,3,Erg lekkere snack!,2026-04-08
2,2,Goede prijs voor de kwaliteit.,2025-07-28
3,1,Zou opnieuw bestellen.,2025-08-02
4,1,Mijn favoriete snack tot nu toe.,2025-09-26
5,5,Perfect voor tussendoor.,2026-01-02
6,2,Goede prijs voor de kwaliteit.,2025-10-13
7,4,Goede kwaliteit en snelle levering.,2025-09-26
8,3,Heel tevreden over deze bestelling.,2025-12-05
9,3,Goede kwaliteit en snelle levering.,2026-03-03
10,3,Heel tevreden over deze bestelling.,2025-06-03
11,4,Zou opnieuw bestellen.,2025-06-19
12,4,De kinderen vonden het heerlijk.,2026-05-06
13,4,Goede kwaliteit en snelle levering.,2025-12-14
14,3,Smaak was beter dan verwacht.,2026-03-26
15,4,De kinderen vonden het heerlijk.,2026-05-24
16,5,Perfect voor tussendoor.,2025-10-25
17,1,Prijs kwaliteit is uitstekend.,2025-09-01
18,3,Goede prijs voor de kwaliteit.,2025-09-11
19,4,Erg lekkere snack!,2026-02-09
20,3,De kinderen vonden het heerlijk.,2026-03-18
21,3,Perfect voor tussendoor.,2025-06-01
22,4,Goede kwaliteit en snelle levering.,2026-05-10
23,5,Prijs kwaliteit is uitstekend.,2025-05-26
24,2,Zou opnieuw bestellen.,2025-08-15
25,1,De kinderen vonden het heerlijk.,2025-10-28
26,1,Prijs kwaliteit is uitstekend.,2026-03-27
27,4,Goede kwaliteit en snelle levering.,2025-06-27
28,2,Perfect voor tussendoor.,2025-12-26
29,5,Zou opnieuw bestellen.,2025-10-24
30,4,Perfect voor tussendoor.,2026-01-20
31,4,De kinderen vonden het heerlijk.,2026-03-11
32,4,Prijs kwaliteit is uitstekend.,2025-07-22
33,5,Mijn favoriete snack tot nu toe.,2026-04-19
34,3,Heel tevreden over deze bestelling.,2025-12-01
35,5,Zou opnieuw bestellen.,2026-05-23
36,3,Zou opnieuw bestellen.,2025-07-28
37,5,Perfect voor tussendoor.,2026-03-09
38,4,De kinderen vonden het heerlijk.,2025-09-19
39,3,Smaak was beter dan verwacht.,2025-08-15
40,5,Heel tevreden over deze bestelling.,2025-10-03
41,3,Prijs kwaliteit is uitstekend.,2025-06-01
42,2,Goede prijs voor de kwaliteit.,2025-11-09
43,2,Heel tevreden over deze bestelling.,2026-05-02
44,3,Perfect voor tussendoor.,2025-05-28
45,4,Heel tevreden over deze bestelling.,2025-06-19
46,2,Perfect voor tussendoor.,2026-05-06
47,2,De kinderen vonden het heerlijk.,2025-07-26
48,3,Goede kwaliteit en snelle levering.,2025-10-11
49,1,De kinderen vonden het heerlijk.,2025-10-03
50,1,Mijn favoriete snack tot nu toe.,2025-10-27
51,2,Goede kwaliteit en snelle levering.,2025-09-26
52,3,Smaak was beter dan verwacht.,2025-07-09
53,4,Goede kwaliteit en snelle levering.,2025-12-07
54,5,Heel tevreden over deze bestelling.,2025-12-13
55,4,De kinderen vonden het heerlijk.,2026-05-06
56,5,Goede kwaliteit en snelle levering.,2026-01-24
57,3,Prijs kwaliteit is uitstekend.,2026-04-08
58,4,Goede kwaliteit en snelle levering.,2025-07-04
59,1,Perfect voor tussendoor.,2026-02-28
60,3,Erg lekkere snack!,2026-05-01
61,3,Erg lekkere snack!,2025-12-25
62,3,Smaak was beter dan verwacht.,2025-10-16
63,2,Prijs kwaliteit is uitstekend.,2025-08-26
64,4,Goede prijs voor de kwaliteit.,2025-06-09
65,2,Mijn favoriete snack tot nu toe.,2026-02-24
66,1,Goede prijs voor de kwaliteit.,2025-11-10
67,5,Prijs kwaliteit is uitstekend.,2025-09-12
68,5,Mijn favoriete snack tot nu toe.,2026-01-26
69,4,Zou opnieuw bestellen.,2025-10-01
70,3,Erg lekkere snack!,2025-09-28
71,3,De kinderen vonden het heerlijk.,2026-03-05
72,1,Perfect voor tussendoor.,2025-11-29
73,5,Zou opnieuw bestellen.,2025-07-01
74,4,Zou opnieuw bestellen.,2025-10-03
75,3,Prijs kwaliteit is uitstekend.,2025-11-09
76,4,Goede kwaliteit en snelle levering.,2026-01-23
77,4,Goede prijs voor de kwaliteit.,2025-11-22
78,5,Zou opnieuw bestellen.,2025-05-31
79,3,Erg lekkere snack!,2025-06-21
80,4,Zou opnieuw bestellen.,2026-05-20
81,5,Erg lekkere snack!,2025-07-18
82,4,Zou opnieuw bestellen.,2026-01-27
83,5,Smaak was beter dan verwacht.,2026-02-01
84,2,Goede prijs voor de kwaliteit.,2026-01-16
85,2,Goede kwaliteit en snelle levering.,2025-07-07
86,1,Zou opnieuw bestellen.,2025-10-11
87,1,Goede prijs voor de kwaliteit.,2025-11-19
88,2,Goede kwaliteit en snelle levering.,2025-12-24
89,3,Heel tevreden over deze bestelling.,2026-02-24
90,2,Mijn favoriete snack tot nu toe.,2025-08-21
91,3,De kinderen vonden het heerlijk.,2025-09-10
92,3,Mijn favoriete snack tot nu toe.,2026-01-13
93,4,Zou opnieuw bestellen.,2025-12-02
94,1,Perfect voor tussendoor.,2026-04-16
95,2,Prijs kwaliteit is uitstekend.,2025-06-12
96,4,De kinderen vonden het heerlijk.,2025-11-18
97,1,Heel tevreden over deze bestelling.,2026-05-17
98,3,De kinderen vonden het heerlijk.,2026-03-22
99,4,Smaak was beter dan verwacht.,2025-06-14
100,3,Goede prijs voor de kwaliteit.,2025-11-10
101,3,Goede kwaliteit en snelle levering.,2025-06-13
102,2,Perfect voor tussendoor.,2026-05-12
103,5,De kinderen vonden het heerlijk.,2025-12-08
104,5,Prijs kwaliteit is uitstekend.,2025-06-27
105,1,Perfect voor tussendoor.,2025-05-31
106,3,Heel tevreden over deze bestelling.,2026-03-26
107,2,Erg lekkere snack!,2026-05-05
108,3,Perfect voor tussendoor.,2026-03-26
109,1,Prijs kwaliteit is uitstekend.,2025-08-22
110,2,Heel tevreden over deze bestelling.,2025-10-04
111,3,De kinderen vonden het heerlijk.,2025-10-22
112,5,Mijn favoriete snack tot nu toe.,2025-10-24
113,1,Perfect voor tussendoor.,2025-07-13
114,4,Zou opnieuw bestellen.,2026-05-08
115,3,Prijs kwaliteit is uitstekend.,2025-10-09
116,4,Prijs kwaliteit is uitstekend.,2025-11-20
117,1,Smaak was beter dan verwacht.,2025-08-19
118,3,Erg lekkere snack!,2025-11-02
119,3,Prijs kwaliteit is uitstekend.,2026-03-23
120,4,Goede kwaliteit en snelle levering.,2025-06-19
121,2,Goede prijs voor de kwaliteit.,2026-05-14
122,1,Smaak was beter dan verwacht.,2026-01-20
123,2,Goede prijs voor de kwaliteit.,2026-02-08
124,1,De kinderen vonden het heerlijk.,2026-02-07
125,5,Prijs kwaliteit is uitstekend.,2026-01-25
126,3,Mijn favoriete snack tot nu toe.,2025-07-23
127,1,Zou opnieuw bestellen.,2026-03-11
128,2,De kinderen vonden het heerlijk.,2026-01-16
129,2,Goede kwaliteit en snelle levering.,2025-06-20
130,1,Mijn favoriete snack tot nu toe.,2026-05-17
