:START_ID(Snack),:END_ID(SnackType),:TYPE
1,7,BELONGS_TO
2,6,BELONGS_TO
3,7,BELONGS_TO
4,2,BELONGS_TO
5,3,BELONGS_TO
6,5,BELONGS_TO
7,9,BELONGS_TO
8,2,BELONGS_TO
9,6,BELONGS_TO
10,7,BELONGS_TO
11,10,BELONGS_TO
12,9,BELONGS_TO
13,6,BELONGS_TO
14,8,BELONGS_TO
15,1,BELONGS_TO
16,1,BELONGS_TO
17,3,BELONGS_TO
18,8,BELONGS_TO
19,3,BELONGS_TO
20,1,BELONGS_TO
21,7,BELONGS_TO
22,4,BELONGS_TO
23,5,BELONGS_TO
24,6,BELONGS_TO
25,10,BELONGS_TO
26,2,BELONGS_TO
27,2,BELONGS_TO
28,3,BELONGS_TO
29,4,BELONGS_TO
30,9,BELONGS_TO
31,3,BELONGS_TO
32,10,BELONGS_TO
33,7,BELONGS_TO
34,6,BELONGS_TO
35,8,BELONGS_TO
36,8,BELONGS_TO
37,3,BELONGS_TO
38,5,BELONGS_TO
39,3,BELONGS_TO
40,10,BELONGS_TO
41,6,BELONGS_TO
42,5,BELONGS_TO
43,4,BELONGS_TO
44,2,BELONGS_TO
45,7,BELONGS_TO
46,6,BELONGS_TO
47,3,BELONGS_TO
48,7,BELONGS_TO
49,7,BELONGS_TO
50,10,BELONGS_TO
51,4,BELONGS_TO
52,1,BELONGS_TO
53,1,BELONGS_TO
54,9,BELONGS_TO
55,10,BELONGS_TO
56,4,BELONGS_TO
57,2,BELONGS_TO
58,8,BELONGS_TO
59,4,BELONGS_TO
60,5,BELONGS_TO
61,3,BELONGS_TO
62,1,BELONGS_TO
63,7,BELONGS_TO
64,10,BELONGS_TO
65,7,BELONGS_TO
66,10,BELONGS_TO
67,5,BELONGS_TO
68,3,BELONGS_TO
69,2,BELONGS_TO
70,6,BELONGS_TO
71,3,BELONGS_TO
72,10,BELONGS_TO
73,2,BELONGS_TO
74,1,BELONGS_TO
75,9,BELONGS_TO
76,7,BELONGS_TO
77,8,BELONGS_TO
78,8,BELONGS_TO
79,2,BELONGS_TO
80,4,BELONGS_TO
81,4,BELONGS_TO
82,4,BELONGS_TO
83,5,BELONGS_TO
84,5,BELONGS_TO
85,8,BELONGS_TO
86,7,BELONGS_TO
87,3,BELONGS_TO
88,7,BELONGS_TO
89,4,BELONGS_TO
90,10,BELONGS_TO
91,4,BELONGS_TO
92,5,BELONGS_TO
93,4,BELONGS_TO
94,7,BELONGS_TO
95,3,BELONGS_TO
96,7,BELONGS_TO
97,3,BELONGS_TO
98,1,BELONGS_TO
99,5,BELONGS_TO
100,5,BELONGS_TO
101,4,BELONGS_TO
102,10,BELONGS_TO
103,8,BELONGS_TO
104,4,BELONGS_TO
105,6,BELONGS_TO
106,10,BELONGS_TO
107,8,BELONGS_TO
108,2,BELONGS_TO
109,1,BELONGS_TO
110,8,BELONGS_TO
111,3,BELONGS_TO
112,6,BELONGS_TO
113,7,BELONGS_TO
114,4,BELONGS_TO
115,7,BELONGS_TO
116,7,BELONGS_TO
117,10,BELONGS_TO
118,5,BELONGS_TO
119,2,BELONGS_TO
120,2,BELONGS_TO
121,9,BELONGS_TO
122,1,BELONGS_TO
123,1,BELONGS_TO
124,6,BELONGS_TO
125,4,BELONGS_TO
126,8,BELONGS_TO
127,6,BELONGS_TO
128,10,BELONGS_TO
129,10,BELONGS_TO
130,1,BELONGS_TO
131,1,BELONGS_TO
132,5,BELONGS_TO
133,9,BELONGS_TO
134,10,BELONGS_TO
135,7,BELONGS_TO
136,5,BELONGS_TO
137,7,BELONGS_TO
138,6,BELONGS_TO
139,3,BELONGS_TO
140,9,BELONGS_TO
141,1,BELONGS_TO
142,10,BELONGS_TO
143,3,BELONGS_TO
144,5,BELONGS_TO
145,3,BELONGS_TO
146,9,BELONGS_TO
147,8,BELONGS_TO
148,6,BELONGS_TO
149,8,BELONGS_TO
150,3,BELONGS_TO
151,2,BELONGS_TO
152,6,BELONGS_TO
153,9,BELONGS_TO
154,7,BELONGS_TO
155,3,BELONGS_TO
156,5,BELONGS_TO
157,2,BELONGS_TO
158,6,BELONGS_TO
159,1,BELONGS_TO
160,3,BELONGS_TO
161,8,BELONGS_TO
162,5,BELONGS_TO
163,6,BELONGS_TO
164,7,BELONGS_TO
165,5,BELONGS_TO
166,5,BELONGS_TO
167,10,BELONGS_TO
168,5,BELONGS_TO
169,9,BELONGS_TO
170,6,BELONGS_TO
171,7,BELONGS_TO
172,3,BELONGS_TO
173,6,BELONGS_TO
174,8,BELONGS_TO
175,3,BELONGS_TO
176,9,BELONGS_TO
177,8,BELONGS_TO
178,1,BELONGS_TO
179,4,BELONGS_TO
180,3,BELONGS_TO
181,1,BELONGS_TO
182,4,BELONGS_TO
183,3,BELONGS_TO
184,1,BELONGS_TO
185,8,BELONGS_TO
186,5,BELONGS_TO
187,3,BELONGS_TO
188,8,BELONGS_TO
189,7,BELONGS_TO
190,2,BELONGS_TO
191,8,BELONGS_TO
192,1,BELONGS_TO
193,8,BELONGS_TO
194,6,BELONGS_TO
195,9,BELONGS_TO
196,8,BELONGS_TO
197,8,BELONGS_TO
198,8,BELONGS_TO
199,2,BELONGS_TO
200,3,BELONGS_TO
