:START_ID(Snack),:END_ID(Allergy),:TYPE
1,5,CONTAINS
1,3,CONTAINS
2,3,CONTAINS
3,4,CONTAINS
4,1,CONTAINS
4,4,CONTAINS
4,3,CONTAINS
5,4,CONTAINS
6,4,CONTAINS
6,7,CONTAINS
6,1,CONTAINS
7,4,CONTAINS
7,6,CONTAINS
8,8,CONTAINS
8,5,CONTAINS
9,6,CONTAINS
9,7,CONTAINS
9,5,CONTAINS
10,6,CONTAINS
10,5,CONTAINS
10,3,CONTAINS
11,6,CONTAINS
11,2,CONTAINS
12,8,CONTAINS
13,8,CONTAINS
14,1,CONTAINS
15,4,CONTAINS
15,6,CONTAINS
15,2,CONTAINS
16,4,CONTAINS
16,2,CONTAINS
17,6,CONTAINS
17,7,CONTAINS
18,7,CONTAINS
18,2,CONTAINS
18,4,CONTAINS
19,1,CONTAINS
20,1,CONTAINS
20,8,CONTAINS
21,1,CONTAINS
21,5,CONTAINS
22,3,CONTAINS
23,8,CONTAINS
23,2,CONTAINS
24,6,CONTAINS
24,1,CONTAINS
24,7,CONTAINS
25,4,CONTAINS
26,3,CONTAINS
26,2,CONTAINS
27,3,CONTAINS
27,8,CONTAINS
28,4,CONTAINS
28,2,CONTAINS
28,7,CONTAINS
29,3,CONTAINS
30,2,CONTAINS
30,1,CONTAINS
31,3,CONTAINS
31,4,CONTAINS
31,6,CONTAINS
32,6,CONTAINS
33,5,CONTAINS
34,4,CONTAINS
34,3,CONTAINS
35,3,CONTAINS
35,5,CONTAINS
36,7,CONTAINS
36,6,CONTAINS
36,1,CONTAINS
37,3,CONTAINS
38,4,CONTAINS
39,7,CONTAINS
40,6,CONTAINS
40,3,CONTAINS
40,5,CONTAINS
41,4,CONTAINS
41,1,CONTAINS
42,4,CONTAINS
42,7,CONTAINS
42,5,CONTAINS
43,3,CONTAINS
43,8,CONTAINS
44,1,CONTAINS
45,5,CONTAINS
45,7,CONTAINS
45,2,CONTAINS
46,8,CONTAINS
46,2,CONTAINS
46,6,CONTAINS
47,8,CONTAINS
48,2,CONTAINS
48,8,CONTAINS
48,5,CONTAINS
49,6,CONTAINS
49,4,CONTAINS
50,8,CONTAINS
50,2,CONTAINS
50,3,CONTAINS
51,6,CONTAINS
51,5,CONTAINS
51,8,CONTAINS
52,8,CONTAINS
52,4,CONTAINS
53,7,CONTAINS
53,6,CONTAINS
54,1,CONTAINS
54,2,CONTAINS
54,7,CONTAINS
55,8,CONTAINS
56,7,CONTAINS
57,5,CONTAINS
58,7,CONTAINS
58,5,CONTAINS
59,6,CONTAINS
60,2,CONTAINS
60,8,CONTAINS
61,5,CONTAINS
62,6,CONTAINS
62,2,CONTAINS
63,1,CONTAINS
63,4,CONTAINS
63,5,CONTAINS
64,6,CONTAINS
64,4,CONTAINS
64,7,CONTAINS
65,7,CONTAINS
65,4,CONTAINS
66,8,CONTAINS
66,3,CONTAINS
67,7,CONTAINS
67,1,CONTAINS
68,8,CONTAINS
69,5,CONTAINS
70,2,CONTAINS
70,3,CONTAINS
70,1,CONTAINS
71,2,CONTAINS
71,7,CONTAINS
72,4,CONTAINS
72,1,CONTAINS
73,2,CONTAINS
74,1,CONTAINS
74,5,CONTAINS
75,6,CONTAINS
76,6,CONTAINS
77,5,CONTAINS
77,6,CONTAINS
78,5,CONTAINS
78,2,CONTAINS
78,6,CONTAINS
79,3,CONTAINS
79,7,CONTAINS
79,6,CONTAINS
80,5,CONTAINS
80,1,CONTAINS
80,3,CONTAINS
81,6,CONTAINS
81,7,CONTAINS
82,7,CONTAINS
82,8,CONTAINS
83,1,CONTAINS
83,4,CONTAINS
83,6,CONTAINS
84,3,CONTAINS
84,7,CONTAINS
84,4,CONTAINS
85,4,CONTAINS
86,4,CONTAINS
86,8,CONTAINS
86,2,CONTAINS
87,8,CONTAINS
87,6,CONTAINS
87,4,CONTAINS
88,2,CONTAINS
88,3,CONTAINS
89,7,CONTAINS
90,7,CONTAINS
90,2,CONTAINS
90,4,CONTAINS
91,1,CONTAINS
91,3,CONTAINS
92,3,CONTAINS
93,1,CONTAINS
93,4,CONTAINS
94,6,CONTAINS
94,3,CONTAINS
94,2,CONTAINS
95,7,CONTAINS
95,6,CONTAINS
96,5,CONTAINS
96,3,CONTAINS
97,1,CONTAINS
97,5,CONTAINS
97,8,CONTAINS
98,3,CONTAINS
99,7,CONTAINS
99,4,CONTAINS
100,7,CONTAINS
101,7,CONTAINS
102,8,CONTAINS
103,6,CONTAINS
104,8,CONTAINS
104,6,CONTAINS
104,3,CONTAINS
105,3,CONTAINS
106,3,CONTAINS
107,8,CONTAINS
108,3,CONTAINS
109,2,CONTAINS
110,5,CONTAINS
110,2,CONTAINS
111,5,CONTAINS
112,2,CONTAINS
112,4,CONTAINS
112,1,CONTAINS
113,1,CONTAINS
113,2,CONTAINS
114,7,CONTAINS
114,4,CONTAINS
115,2,CONTAINS
116,7,CONTAINS
117,2,CONTAINS
117,4,CONTAINS
118,3,CONTAINS
119,5,CONTAINS
120,8,CONTAINS
120,2,CONTAINS
121,5,CONTAINS
121,8,CONTAINS
121,2,CONTAINS
122,8,CONTAINS
122,3,CONTAINS
122,2,CONTAINS
123,3,CONTAINS
124,2,CONTAINS
124,7,CONTAINS
125,4,CONTAINS
125,5,CONTAINS
126,8,CONTAINS
126,4,CONTAINS
127,1,CONTAINS
127,6,CONTAINS
128,5,CONTAINS
129,8,CONTAINS
129,3,CONTAINS
129,6,CONTAINS
130,5,CONTAINS
130,4,CONTAINS
130,8,CONTAINS
131,7,CONTAINS
132,3,CONTAINS
133,7,CONTAINS
133,4,CONTAINS
133,8,CONTAINS
134,3,CONTAINS
134,6,CONTAINS
134,5,CONTAINS
135,7,CONTAINS
136,1,CONTAINS
136,2,CONTAINS
136,7,CONTAINS
137,5,CONTAINS
137,6,CONTAINS
138,4,CONTAINS
139,7,CONTAINS
139,8,CONTAINS
140,2,CONTAINS
140,3,CONTAINS
140,1,CONTAINS
141,6,CONTAINS
142,8,CONTAINS
142,2,CONTAINS
143,4,CONTAINS
143,5,CONTAINS
144,8,CONTAINS
145,2,CONTAINS
146,8,CONTAINS
146,4,CONTAINS
146,3,CONTAINS
147,7,CONTAINS
147,8,CONTAINS
147,2,CONTAINS
148,1,CONTAINS
148,8,CONTAINS
149,2,CONTAINS
149,6,CONTAINS
150,6,CONTAINS
151,8,CONTAINS
151,4,CONTAINS
151,7,CONTAINS
152,2,CONTAINS
153,4,CONTAINS
153,6,CONTAINS
153,8,CONTAINS
154,8,CONTAINS
155,3,CONTAINS
155,2,CONTAINS
156,2,CONTAINS
157,5,CONTAINS
158,7,CONTAINS
159,2,CONTAINS
160,1,CONTAINS
160,6,CONTAINS
160,3,CONTAINS
161,8,CONTAINS
162,3,CONTAINS
162,2,CONTAINS
163,1,CONTAINS
163,6,CONTAINS
163,5,CONTAINS
164,8,CONTAINS
165,1,CONTAINS
165,7,CONTAINS
165,6,CONTAINS
166,2,CONTAINS
166,4,CONTAINS
166,6,CONTAINS
167,8,CONTAINS
167,1,CONTAINS
168,1,CONTAINS
168,8,CONTAINS
168,4,CONTAINS
169,4,CONTAINS
170,4,CONTAINS
170,2,CONTAINS
171,1,CONTAINS
172,1,CONTAINS
172,8,CONTAINS
173,4,CONTAINS
173,6,CONTAINS
174,2,CONTAINS
174,8,CONTAINS
174,1,CONTAINS
175,3,CONTAINS
175,6,CONTAINS
175,2,CONTAINS
176,7,CONTAINS
177,2,CONTAINS
177,7,CONTAINS
177,3,CONTAINS
178,4,CONTAINS
178,5,CONTAINS
179,7,CONTAINS
180,2,CONTAINS
180,8,CONTAINS
181,2,CONTAINS
182,6,CONTAINS
182,2,CONTAINS
183,7,CONTAINS
184,6,CONTAINS
184,1,CONTAINS
184,4,CONTAINS
185,8,CONTAINS
186,2,CONTAINS
187,5,CONTAINS
187,6,CONTAINS
187,8,CONTAINS
188,1,CONTAINS
188,8,CONTAINS
189,7,CONTAINS
190,8,CONTAINS
190,1,CONTAINS
191,3,CONTAINS
191,8,CONTAINS
191,1,CONTAINS
192,6,CONTAINS
192,8,CONTAINS
192,7,CONTAINS
193,3,CONTAINS
193,8,CONTAINS
194,6,CONTAINS
195,8,CONTAINS
195,1,CONTAINS
195,3,CONTAINS
196,8,CONTAINS
197,4,CONTAINS
197,5,CONTAINS
198,1,CONTAINS
198,2,CONTAINS
198,8,CONTAINS
199,2,CONTAINS
199,3,CONTAINS
199,8,CONTAINS
200,7,CONTAINS
200,8,CONTAINS
200,2,CONTAINS
