:START_ID(Snack),:END_ID(Ingredient),:TYPE
1,23,CONTAINS
1,6,CONTAINS
1,14,CONTAINS
2,12,CONTAINS
2,11,CONTAINS
2,48,CONTAINS
2,33,CONTAINS
2,18,CONTAINS
3,38,CONTAINS
3,1,CONTAINS
3,34,CONTAINS
3,50,CONTAINS
4,27,CONTAINS
4,5,CONTAINS
4,16,CONTAINS
4,50,CONTAINS
5,44,CONTAINS
5,7,CONTAINS
5,22,CONTAINS
5,2,CONTAINS
5,19,CONTAINS
5,50,CONTAINS
6,26,CONTAINS
6,24,CONTAINS
6,38,CONTAINS
7,21,CONTAINS
7,10,CONTAINS
7,2,CONTAINS
8,30,CONTAINS
8,46,CONTAINS
8,43,CONTAINS
9,30,CONTAINS
9,41,CONTAINS
9,18,CONTAINS
9,39,CONTAINS
9,43,CONTAINS
9,1,CONTAINS
10,3,CONTAINS
10,42,CONTAINS
10,40,CONTAINS
10,29,CONTAINS
10,21,CONTAINS
11,14,CONTAINS
11,4,CONTAINS
11,42,CONTAINS
11,19,CONTAINS
12,4,CONTAINS
12,48,CONTAINS
12,5,CONTAINS
12,36,CONTAINS
12,39,CONTAINS
13,6,CONTAINS
13,26,CONTAINS
13,17,CONTAINS
13,12,CONTAINS
13,16,CONTAINS
13,49,CONTAINS
14,2,CONTAINS
14,14,CONTAINS
14,11,CONTAINS
15,50,CONTAINS
15,26,CONTAINS
15,19,CONTAINS
15,42,CONTAINS
15,47,CONTAINS
15,10,CONTAINS
16,20,CONTAINS
16,32,CONTAINS
16,28,CONTAINS
17,44,CONTAINS
17,39,CONTAINS
17,9,CONTAINS
17,23,CONTAINS
17,43,CONTAINS
18,24,CONTAINS
18,33,CONTAINS
18,13,CONTAINS
19,29,CONTAINS
19,25,CONTAINS
19,31,CONTAINS
19,18,CONTAINS
19,37,CONTAINS
19,39,CONTAINS
20,6,CONTAINS
20,49,CONTAINS
20,28,CONTAINS
20,24,CONTAINS
20,40,CONTAINS
20,12,CONTAINS
21,41,CONTAINS
21,28,CONTAINS
21,6,CONTAINS
21,3,CONTAINS
21,33,CONTAINS
21,22,CONTAINS
22,44,CONTAINS
22,15,CONTAINS
22,42,CONTAINS
22,50,CONTAINS
22,46,CONTAINS
22,10,CONTAINS
23,34,CONTAINS
23,41,CONTAINS
23,42,CONTAINS
23,50,CONTAINS
23,6,CONTAINS
23,19,CONTAINS
24,28,CONTAINS
24,6,CONTAINS
24,31,CONTAINS
24,20,CONTAINS
24,10,CONTAINS
24,9,CONTAINS
25,16,CONTAINS
25,34,CONTAINS
25,28,CONTAINS
25,19,CONTAINS
25,37,CONTAINS
26,36,CONTAINS
26,5,CONTAINS
26,3,CONTAINS
27,33,CONTAINS
27,28,CONTAINS
27,27,CONTAINS
28,30,CONTAINS
28,43,CONTAINS
28,47,CONTAINS
29,23,CONTAINS
29,17,CONTAINS
29,38,CONTAINS
29,6,CONTAINS
29,50,CONTAINS
30,8,CONTAINS
30,48,CONTAINS
30,43,CONTAINS
31,12,CONTAINS
31,50,CONTAINS
31,26,CONTAINS
31,3,CONTAINS
31,6,CONTAINS
31,27,CONTAINS
32,21,CONTAINS
32,38,CONTAINS
32,47,CONTAINS
32,30,CONTAINS
32,49,CONTAINS
33,40,CONTAINS
33,17,CONTAINS
33,22,CONTAINS
33,12,CONTAINS
33,14,CONTAINS
33,47,CONTAINS
34,48,CONTAINS
34,39,CONTAINS
34,17,CONTAINS
35,28,CONTAINS
35,35,CONTAINS
35,2,CONTAINS
36,26,CONTAINS
36,8,CONTAINS
36,1,CONTAINS
37,42,CONTAINS
37,31,CONTAINS
37,30,CONTAINS
37,45,CONTAINS
38,43,CONTAINS
38,48,CONTAINS
38,39,CONTAINS
38,47,CONTAINS
38,32,CONTAINS
38,20,CONTAINS
39,45,CONTAINS
39,44,CONTAINS
39,26,CONTAINS
39,20,CONTAINS
39,6,CONTAINS
40,9,CONTAINS
40,1,CONTAINS
40,13,CONTAINS
40,8,CONTAINS
41,45,CONTAINS
41,13,CONTAINS
41,2,CONTAINS
42,31,CONTAINS
42,42,CONTAINS
42,10,CONTAINS
42,16,CONTAINS
43,41,CONTAINS
43,35,CONTAINS
43,13,CONTAINS
43,6,CONTAINS
43,20,CONTAINS
43,30,CONTAINS
44,31,CONTAINS
44,28,CONTAINS
44,2,CONTAINS
44,8,CONTAINS
45,10,CONTAINS
45,48,CONTAINS
45,45,CONTAINS
45,29,CONTAINS
46,31,CONTAINS
46,2,CONTAINS
46,29,CONTAINS
46,38,CONTAINS
46,16,CONTAINS
46,13,CONTAINS
47,37,CONTAINS
47,26,CONTAINS
47,4,CONTAINS
47,22,CONTAINS
47,1,CONTAINS
48,41,CONTAINS
48,46,CONTAINS
48,28,CONTAINS
49,32,CONTAINS
49,48,CONTAINS
49,38,CONTAINS
49,39,CONTAINS
49,36,CONTAINS
49,19,CONTAINS
50,32,CONTAINS
50,26,CONTAINS
50,33,CONTAINS
51,15,CONTAINS
51,46,CONTAINS
51,4,CONTAINS
51,34,CONTAINS
51,2,CONTAINS
51,28,CONTAINS
52,36,CONTAINS
52,5,CONTAINS
52,18,CONTAINS
52,42,CONTAINS
52,27,CONTAINS
53,8,CONTAINS
53,32,CONTAINS
53,40,CONTAINS
53,42,CONTAINS
53,23,CONTAINS
53,29,CONTAINS
54,2,CONTAINS
54,11,CONTAINS
54,19,CONTAINS
54,47,CONTAINS
54,13,CONTAINS
54,31,CONTAINS
55,29,CONTAINS
55,15,CONTAINS
55,33,CONTAINS
55,38,CONTAINS
55,44,CONTAINS
56,39,CONTAINS
56,46,CONTAINS
56,43,CONTAINS
56,30,CONTAINS
56,9,CONTAINS
57,47,CONTAINS
57,46,CONTAINS
57,25,CONTAINS
57,27,CONTAINS
57,44,CONTAINS
58,31,CONTAINS
58,11,CONTAINS
58,40,CONTAINS
58,14,CONTAINS
58,19,CONTAINS
59,43,CONTAINS
59,31,CONTAINS
59,9,CONTAINS
60,13,CONTAINS
60,11,CONTAINS
60,39,CONTAINS
60,32,CONTAINS
61,27,CONTAINS
61,32,CONTAINS
61,20,CONTAINS
62,14,CONTAINS
62,36,CONTAINS
62,4,CONTAINS
62,2,CONTAINS
63,17,CONTAINS
63,23,CONTAINS
63,44,CONTAINS
63,11,CONTAINS
63,12,CONTAINS
64,5,CONTAINS
64,22,CONTAINS
64,28,CONTAINS
65,40,CONTAINS
65,15,CONTAINS
65,8,CONTAINS
66,32,CONTAINS
66,17,CONTAINS
66,22,CONTAINS
66,23,CONTAINS
67,50,CONTAINS
67,36,CONTAINS
67,18,CONTAINS
68,45,CONTAINS
68,33,CONTAINS
68,39,CONTAINS
68,43,CONTAINS
69,46,CONTAINS
69,4,CONTAINS
69,29,CONTAINS
70,49,CONTAINS
70,8,CONTAINS
70,7,CONTAINS
70,40,CONTAINS
70,47,CONTAINS
70,48,CONTAINS
71,33,CONTAINS
71,7,CONTAINS
71,11,CONTAINS
72,14,CONTAINS
72,24,CONTAINS
72,11,CONTAINS
73,46,CONTAINS
73,29,CONTAINS
73,49,CONTAINS
73,33,CONTAINS
73,32,CONTAINS
74,10,CONTAINS
74,42,CONTAINS
74,24,CONTAINS
75,9,CONTAINS
75,8,CONTAINS
75,13,CONTAINS
75,29,CONTAINS
75,27,CONTAINS
76,16,CONTAINS
76,31,CONTAINS
76,22,CONTAINS
77,33,CONTAINS
77,11,CONTAINS
77,6,CONTAINS
77,18,CONTAINS
77,24,CONTAINS
78,24,CONTAINS
78,41,CONTAINS
78,43,CONTAINS
78,16,CONTAINS
78,10,CONTAINS
78,34,CONTAINS
79,15,CONTAINS
79,9,CONTAINS
79,28,CONTAINS
79,27,CONTAINS
79,47,CONTAINS
79,30,CONTAINS
80,2,CONTAINS
80,29,CONTAINS
80,10,CONTAINS
80,50,CONTAINS
80,1,CONTAINS
81,6,CONTAINS
81,22,CONTAINS
81,21,CONTAINS
82,50,CONTAINS
82,11,CONTAINS
82,28,CONTAINS
82,4,CONTAINS
82,26,CONTAINS
82,3,CONTAINS
83,37,CONTAINS
