snackId:ID(Snack),name,price,description
1,Notenmix Gezouten 1,6.31,Populair bij jong en oud.
2,Reep Proteïne 2,6.28,Ideaal als snelle snack onderweg.
3,Notenmix Gerookt 3,4.23,Heerlijke snack voor tussendoor.
4,Notenmix Ongezouten 4,3.0,Knapperig en vol smaak.
5,Chips Sweet Chili 5,2.78,Ideaal als snelle snack onderweg.
6,Cracker Kaas 6,4.41,Bereid met zorgvuldig geselecteerde ingrediënten.
7,Chips Peper 7,6.73,Ideaal als snelle snack onderweg.
8,Cracker Rozemarijn 8,3.3,Populair bij jong en oud.
9,Popcorn Zoet 9,2.09,Heerlijke snack voor tussendoor.
10,Popcorn Karamel 10,5.41,Een favoriet onder onze klanten.
11,Chips Kaas 11,4.48,Heerlijke snack voor tussendoor.
12,Cracker Volkoren 12,5.08,Een favoriet onder onze klanten.
13,Popcorn Zout 13,6.07,Heerlijke snack voor tussendoor.
14,Reep Muesli 14,7.89,Een favoriet onder onze klanten.
15,Reep Energie 15,3.96,Perfect voor een filmavond.
16,Popcorn Zout 16,3.9,Populair bij jong en oud.
17,Snoep Aardbei 17,5.45,Populair bij jong en oud.
18,Reep Proteïne 18,4.49,Bereid met zorgvuldig geselecteerde ingrediënten.
19,Reep Muesli 19,6.97,Een favoriet onder onze klanten.
20,Chips Naturel 20,6.83,Een favoriet onder onze klanten.
21,Popcorn Boter 21,3.23,Populair bij jong en oud.
22,Popcorn Zout 22,5.75,Perfect voor een filmavond.
23,Fruit Snack Banaan 23,3.21,Populair bij jong en oud.
24,Snoep Drop 24,4.27,Knapperig en vol smaak.
25,Cracker Rozemarijn 25,2.92,Populair bij jong en oud.
26,Fruit Snack Appel 26,6.4,Een favoriet onder onze klanten.
27,Notenmix Ongezouten 27,5.57,Een favoriet onder onze klanten.
28,Cracker Volkoren 28,3.99,Knapperig en vol smaak.
29,Fruit Snack Bosbes 29,7.8,Een favoriet onder onze klanten.
30,Chips Kaas 30,6.17,Ideaal als snelle snack onderweg.
31,Snoep Fruitmix 31,2.22,Perfect voor een filmavond.
32,Koek Havermout 32,1.51,Ideaal als snelle snack onderweg.
33,Snoep Drop 33,6.44,Knapperig en vol smaak.
34,Notenmix Pittig 34,6.96,Knapperig en vol smaak.
35,Reep Proteïne 35,3.92,Populair bij jong en oud.
36,Chips Sweet Chili 36,3.6,Heerlijke snack voor tussendoor.
37,Notenmix Pittig 37,7.2,Een favoriet onder onze klanten.
38,Snoep Cola 38,1.87,Knapperig en vol smaak.
39,Notenmix Gezouten 39,6.25,Een favoriet onder onze klanten.
40,Notenmix Gerookt 40,6.47,Populair bij jong en oud.
41,Fruit Snack Banaan 41,3.21,Een favoriet onder onze klanten.
42,Cracker Kaas 42,7.53,Een favoriet onder onze klanten.
43,Reep Muesli 43,4.08,Ideaal als snelle snack onderweg.
44,Popcorn Boter 44,7.34,Perfect voor een filmavond.
45,Notenmix Ongezouten 45,2.95,Bereid met zorgvuldig geselecteerde ingrediënten.
46,Chips Sweet Chili 46,5.09,Knapperig en vol smaak.
47,Reep Energie 47,1.95,Ideaal als snelle snack onderweg.
48,Chips Naturel 48,1.93,Heerlijke snack voor tussendoor.
49,Popcorn Zoet 49,4.83,Bereid met zorgvuldig geselecteerde ingrediënten.
50,Fruit Snack Banaan 50,5.0,Ideaal als snelle snack onderweg.
51,Fruit Snack Banaan 51,6.59,Een favoriet onder onze klanten.
52,Cracker Kaas 52,2.1,Ideaal als snelle snack onderweg.
53,Cracker Rozemarijn 53,4.24,Perfect voor een filmavond.
54,Chips Kaas 54,5.74,Ideaal als snelle snack onderweg.
55,Notenmix Gezouten 55,4.11,Bereid met zorgvuldig geselecteerde ingrediënten.
56,Notenmix Ongezouten 56,2.74,Knapperig en vol smaak.
57,Fruit Snack Banaan 57,4.23,Bereid met zorgvuldig geselecteerde ingrediënten.
58,Fruit Snack Banaan 58,7.17,Heerlijke snack voor tussendoor.
59,Fruit Snack Appel 59,1.82,Knapperig en vol smaak.
60,Chips Paprika 60,7.51,Een favoriet onder onze klanten.
61,Reep Proteïne 61,4.13,Perfect voor een filmavond.
62,Reep Chocolade 62,7.36,Populair bij jong en oud.
63,Cracker Volkoren 63,7.89,Bereid met zorgvuldig geselecteerde ingrediënten.
64,Fruit Snack Bosbes 64,4.24,Ideaal als snelle snack onderweg.
65,Fruit Snack Banaan 65,2.72,Populair bij jong en oud.
66,Chips Sweet Chili 66,6.27,Heerlijke snack voor tussendoor.
67,Popcorn Zoet 67,1.82,Perfect voor een filmavond.
68,Koek Chocolade 68,7.74,Heerlijke snack voor tussendoor.
69,Koek Chocolade 69,5.36,Ideaal als snelle snack onderweg.
70,Reep Chocolade 70,2.27,Knapperig en vol smaak.
71,Reep Fruit 71,5.35,Knapperig en vol smaak.
72,Notenmix Honing 72,5.76,Knapperig en vol smaak.
73,Popcorn Karamel 73,2.82,Ideaal als snelle snack onderweg.
74,Popcorn Zout 74,3.22,Populair bij jong en oud.
75,Snoep Zure Mix 75,3.55,Een favoriet onder onze klanten.
76,Notenmix Gezouten 76,4.47,Knapperig en vol smaak.
77,Notenmix Gezouten 77,4.98,Knapperig en vol smaak.
78,Snoep Cola 78,7.56,Heerlijke snack voor tussendoor.
79,Reep Muesli 79,3.34,Perfect voor een filmavond.
80,Snoep Drop 80,7.89,Een favoriet onder onze klanten.
81,Chips Kaas 81,6.8,Bereid met zorgvuldig geselecteerde ingrediënten.
82,Notenmix Ongezouten 82,3.21,Heerlijke snack voor tussendoor.
83,Koek Karamel 83,3.32,Populair bij jong en oud.
84,Popcorn Zout 84,5.96,Een favoriet onder onze klanten.
85,Snoep Drop 85,4.67,Een favoriet onder onze klanten.
86,Chips Paprika 86,5.61,Een favoriet onder onze klanten.
87,Snoep Aardbei 87,1.51,Een favoriet onder onze klanten.
88,Koek Karamel 88,2.54,Perfect voor een filmavond.
89,Cracker Volkoren 89,2.22,Ideaal als snelle snack onderweg.
90,Koek Speculaas 90,1.72,Bereid met zorgvuldig geselecteerde ingrediënten.
91,Koek Havermout 91,2.32,Bereid met zorgvuldig geselecteerde ingrediënten.
92,Popcorn Zoet 92,7.33,Populair bij jong en oud.
93,Reep Energie 93,3.79,Knapperig en vol smaak.
94,Cracker Kaas 94,7.51,Populair bij jong en oud.
95,Koek Vanille 95,7.22,Heerlijke snack voor tussendoor.
96,Koek Karamel 96,6.58,Perfect voor een filmavond.
97,Reep Muesli 97,2.52,Ideaal als snelle snack onderweg.
98,Notenmix Honing 98,7.16,Een favoriet onder onze klanten.
99,Fruit Snack Banaan 99,2.79,Perfect voor een filmavond.
100,Popcorn Karamel 100,6.82,Een favoriet onder onze klanten.
101,Reep Proteïne 101,1.64,Populair bij jong en oud.
102,Cracker Rozemarijn 102,3.3,Heerlijke snack voor tussendoor.
103,Snoep Fruitmix 103,5.66,Perfect voor een filmavond.
104,Popcorn Zoet 104,2.24,Bereid met zorgvuldig geselecteerde ingrediënten.
105,Koek Speculaas 105,7.75,Bereid met zorgvuldig geselecteerde ingrediënten.
106,Chips Paprika 106,5.37,Bereid met zorgvuldig geselecteerde ingrediënten.
107,Popcorn Boter 107,5.43,Knapperig en vol smaak.
108,Notenmix Honing 108,7.34,Populair bij jong en oud.
109,Snoep Aardbei 109,6.1,Heerlijke snack voor tussendoor.
110,Reep Muesli 110,4.29,Ideaal als snelle snack onderweg.
111,Popcorn Karamel 111,5.8,Heerlijke snack voor tussendoor.
112,Snoep Drop 112,3.5,Perfect voor een filmavond.
113,Popcorn Boter 113,6.02,Knapperig en vol smaak.
114,Koek Vanille 114,4.22,Perfect voor een filmavond.
115,Koek Speculaas 115,5.19,Perfect voor een filmavond.
116,Chips Barbecue 116,3.35,Perfect voor een filmavond.
117,Popcorn Boter 117,4.36,Ideaal als snelle snack onderweg.
118,Reep Fruit 118,4.57,Een favoriet onder onze klanten.
119,Koek Chocolade 119,3.33,Ideaal als snelle snack onderweg.
120,Popcorn Zoet 120,6.81,Een favoriet onder onze klanten.
121,Reep Muesli 121,2.95,Populair bij jong en oud.
122,Koek Chocolade 122,1.79,Perfect voor een filmavond.
123,Notenmix Honing 123,4.18,Ideaal als snelle snack onderweg.
124,Reep Chocolade 124,4.7,Populair bij jong en oud.
125,Koek Chocolade 125,7.29,Een favoriet onder onze klanten.
126,Notenmix Honing 126,2.91,Een favoriet onder onze klanten.
127,Fruit Snack Appel 127,5.11,Een favoriet onder onze klanten.
128,Notenmix Honing 128,2.36,Perfect voor een filmavond.
129,Popcorn Boter 129,5.47,Ideaal als snelle snack onderweg.
130,Cracker Meergranen 130,7.32,Ideaal als snelle snack onderweg.
131,Fruit Snack Mango 131,3.17,Populair bij jong en oud.
132,Snoep Drop 132,4.64,Populair bij jong en oud.
133,Snoep Zure Mix 133,1.99,Bereid met zorgvuldig geselecteerde ingrediënten.
134,Reep Muesli 134,3.67,Knapperig en vol smaak.
135,Notenmix Ongezouten 135,2.47,Perfect voor een filmavond.
136,Koek Vanille 136,1.91,Perfect voor een filmavond.
137,Popcorn Boter 137,4.19,Populair bij jong en oud.
138,Cracker Meergranen 138,7.37,Knapperig en vol smaak.
139,Chips Peper 139,7.21,Knapperig en vol smaak.
140,Cracker Meergranen 140,1.53,Bereid met zorgvuldig geselecteerde ingrediënten.
141,Snoep Zure Mix 141,7.04,Een favoriet onder onze klanten.
142,Cracker Kaas 142,4.66,Bereid met zorgvuldig geselecteerde ingrediënten.
143,Cracker Meergranen 143,1.68,Bereid met zorgvuldig geselecteerde ingrediënten.
144,Cracker Kaas 144,6.95,Populair bij jong en oud.
145,Chips Zeezout 145,5.34,Ideaal als snelle snack onderweg.
146,Chips Paprika 146,5.67,Populair bij jong en oud.
147,Fruit Snack Banaan 147,1.82,Perfect voor een filmavond.
148,Popcorn Zout 148,4.45,Bereid met zorgvuldig geselecteerde ingrediënten.
149,Cracker Rozemarijn 149,6.38,Een favoriet onder onze klanten.
150,Cracker Rozemarijn 150,6.92,Perfect voor een filmavond.
151,Chips Kaas 151,5.0,Bereid met zorgvuldig geselecteerde ingrediënten.
152,Reep Energie 152,6.57,Ideaal als snelle snack onderweg.
153,Chips Peper 153,1.69,Populair bij jong en oud.
154,Reep Energie 154,5.53,Populair bij jong en oud.
155,Koek Havermout 155,5.84,Knapperig en vol smaak.
156,Reep Chocolade 156,6.04,Een favoriet onder onze klanten.
157,Popcorn Zout 157,5.43,Ideaal als snelle snack onderweg.
158,Notenmix Ongezouten 158,7.76,Heerlijke snack voor tussendoor.
159,Chips Barbecue 159,5.23,Perfect voor een filmavond.
160,Cracker Kaas 160,1.98,Ideaal als snelle snack onderweg.
161,Reep Energie 161,6.02,Bereid met zorgvuldig geselecteerde ingrediënten.
162,Notenmix Gerookt 162,6.58,Bereid met zorgvuldig geselecteerde ingrediënten.
163,Cracker Rozemarijn 163,1.94,Ideaal als snelle snack onderweg.
164,Popcorn Zoet 164,7.01,Een favoriet onder onze klanten.
165,Fruit Snack Appel 165,4.31,Bereid met zorgvuldig geselecteerde ingrediënten.
166,Fruit Snack Banaan 166,4.32,Ideaal als snelle snack onderweg.
167,Snoep Drop 167,6.74,Knapperig en vol smaak.
168,Fruit Snack Mango 168,4.32,Ideaal als snelle snack onderweg.
169,Snoep Fruitmix 169,7.03,Een favoriet onder onze klanten.
170,Notenmix Pittig 170,7.22,Populair bij jong en oud.
171,Fruit Snack Mango 171,3.68,Perfect voor een filmavond.
172,Popcorn Zout 172,4.66,Bereid met zorgvuldig geselecteerde ingrediënten.
173,Snoep Fruitmix 173,3.31,Knapperig en vol smaak.
174,Snoep Drop 174,1.56,Populair bij jong en oud.
175,Notenmix Ongezouten 175,6.17,Perfect voor een filmavond.
176,Reep Chocolade 176,5.69,Perfect voor een filmavond.
177,Fruit Snack Appel 177,2.09,Populair bij jong en oud.
178,Cracker Kaas 178,3.48,Knapperig en vol smaak.
179,Popcorn Boter 179,5.09,Bereid met zorgvuldig geselecteerde ingrediënten.
180,Cracker Rozemarijn 180,3.78,Perfect voor een filmavond.
181,Snoep Fruitmix 181,3.12,Heerlijke snack voor tussendoor.
182,Reep Muesli 182,2.27,Knapperig en vol smaak.
183,Koek Vanille 183,2.9,Perfect voor een filmavond.
184,Snoep Drop 184,7.84,Knapperig en vol smaak.
185,Snoep Aardbei 185,6.9,Bereid met zorgvuldig geselecteerde ingrediënten.
186,Reep Muesli 186,2.66,Heerlijke snack voor tussendoor.
187,Koek Karamel 187,1.79,Heerlijke snack voor tussendoor.
188,Snoep Cola 188,5.64,Een favoriet onder onze klanten.
189,Fruit Snack Appel 189,7.16,Knapperig en vol smaak.
190,Snoep Zure Mix 190,4.6,Bereid met zorgvuldig geselecteerde ingrediënten.
191,Koek Chocolade 191,3.13,Een favoriet onder onze klanten.
192,Fruit Snack Appel 192,6.83,Perfect voor een filmavond.
193,Fruit Snack Appel 193,5.24,Ideaal als snelle snack onderweg.
194,Chips Naturel 194,2.46,Knapperig en vol smaak.
195,Snoep Aardbei 195,7.95,Heerlijke snack voor tussendoor.
196,Cracker Kaas 196,6.53,Perfect voor een filmavond.
197,Fruit Snack Mango 197,3.42,Knapperig en vol smaak.
198,Cracker Rozemarijn 198,5.19,Heerlijke snack voor tussendoor.
199,Notenmix Ongezouten 199,5.56,Bereid met zorgvuldig geselecteerde ingrediënten.
200,Notenmix Ongezouten 200,3.05,Knapperig en vol smaak.
